kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,57688.0,626.0,413.0,9.0,33.0,68.0,2909.0,61147.839,59631.181999999986,0.0,1.5157384987893463
NINJA,436456.0,7234.0,19213.0,40.0,1689.0,361.0,2600.0,1.0406363679999986e6,532305.688,0.0,0.3765159006922396
ASSASSIN,99965.0,2696.0,3292.0,1.0,446.0,22.0,172.0,82098.054,79779.985,0.0,0.818955042527339
CHEMIST,126128.0,2932.0,2429.0,73.0,12.0,734.0,16186.0,152918.401,269536.81399999995,0.0,1.2070811033347055
SCOUT,112902.0,1115.0,2505.0,1.0,119.0,89.0,473.0,87722.26799999998,92245.05300000004,0.0,0.44510978043912175
SOLDIER,77135.0,767.0,1166.0,57.0,21.0,512.0,13273.0,46000.809,103383.233,0.0,0.6578044596912521
MAGE,55589.0,434.0,827.0,0.0,16.0,44.0,262.0,53095.42799999998,46180.22599999997,0.0,0.524788391777509
MEDIC,26541.0,374.0,341.0,7.0,17.0,22.0,669.0,15188.933,34083.744000000006,18950.0,1.096774193548387
ELF,96987.0,1134.0,1762.0,53.0,5.0,633.0,11468.0,43778.262,133600.62999999998,0.0,0.6435868331441543
ARCHER,111963.0,2974.0,1540.0,2.0,7.0,8.0,385.0,76904.17300000004,97517.81400000003,0.0,1.931168831168831
NECRO,27136.0,567.0,275.0,3.0,26.0,23.0,402.0,39269.291999999994,37855.60100000001,0.0,2.061818181818182
PYRO,12351.0,209.0,113.0,0.0,49.0,0.0,6.0,10573.917000000001,9873.78,0.0,1.8495575221238938
ENGINEER,11348.0,139.0,142.0,0.0,11.0,15.0,54.0,10629.791000000001,12152.136999999999,0.0,0.9788732394366197
FASHIONISTA,35.0,2.0,4.0,0.0,0.0,0.0,0.0,30.0,40.22,0.0,0.5
DWARF,560.0,3.0,6.0,0.0,0.0,0.0,0.0,179.10199999999998,308.653,0.0,0.5
