kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,3269.0,43.0,15.0,0.0,8.0,1.0,3.0,4509.997,2452.567,0.0,2.8666666666666667
PYRO,16637.0,244.0,102.0,0.0,53.0,1.0,39.0,10922.832,7952.407000000001,0.0,2.392156862745098
MAGE,20171.0,116.0,133.0,2.0,10.0,26.0,907.0,13545.457999999999,9830.702000000001,0.0,0.8721804511278195
CHEMIST,1859.0,12.0,12.0,0.0,1.0,0.0,0.0,1198.3419999999999,777.503,0.0,1.0
MEDIC,2213.0,12.0,9.0,0.0,1.0,2.0,23.0,1199.953,1112.67,885.0,1.3333333333333333
ARCHER,1124.0,21.0,10.0,0.0,0.0,0.0,0.0,704.162,666.335,0.0,2.1
SOLDIER,5644.0,84.0,48.0,3.0,16.0,7.0,218.0,9760.732,7089.411,0.0,1.75
NINJA,52049.0,771.0,2297.0,0.0,170.0,2.0,4.0,119549.71300000003,56730.481999999996,0.0,0.33565520243796254
ASSASSIN,5794.0,183.0,237.0,0.0,26.0,0.0,0.0,6253.715,5746.223,0.0,0.7721518987341772
DWARF,544.0,0.0,2.0,0.0,0.0,0.0,0.0,80.5,228.68,0.0,0.0
