kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,66227.0,1048.0,1197.0,27.0,22.0,255.0,2358.0,60955.20800000001,106740.044,0.0,0.8755221386800334
SOLDIER,8110.0,62.0,133.0,5.0,1.0,38.0,1091.0,4318.384000000001,10199.168000000003,0.0,0.46616541353383456
NINJA,4703.0,40.0,103.0,2.0,7.0,5.0,81.0,3272.8790000000004,2489.896,0.0,0.3883495145631068
HEAVY,5462.0,23.0,26.0,1.0,5.0,2.0,36.0,3160.055,3150.6780000000003,0.0,0.8846153846153846
ENGINEER,2665.0,24.0,20.0,0.0,2.0,3.0,158.0,2084.0280000000002,2402.7470000000003,0.0,1.2
MEDIC,3808.0,39.0,45.0,0.0,4.0,2.0,13.0,2205.1450000000004,3833.915,3107.0,0.8666666666666667
FASHIONISTA,2433.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,62.007999999999996,0.0,0.0
PYRO,758.0,6.0,7.0,0.0,1.0,0.0,0.0,614.79,576.109,0.0,0.8571428571428571
SCOUT,6552.0,60.0,163.0,3.0,1.0,28.0,177.0,3207.273,6019.9000000000015,0.0,0.36809815950920244
ARCHER,3103.0,77.0,25.0,0.0,0.0,0.0,0.0,2438.171,1888.8809999999999,0.0,3.08
ASSASSIN,1737.0,30.0,44.0,1.0,8.0,2.0,4.0,881.209,1072.414,0.0,0.6818181818181818
ELF,1334.0,14.0,29.0,0.0,0.0,3.0,6.0,720.217,2056.1620000000003,0.0,0.4827586206896552
NECRO,1510.0,31.0,35.0,1.0,0.0,6.0,158.0,1571.823,2653.033,0.0,0.8857142857142857
DWARF,414.0,1.0,5.0,0.0,0.0,1.0,87.0,58.499,317.968,0.0,0.2
MAGE,148.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,45.0,0.0,Inf
