kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,49517.0,495.0,1323.0,2.0,74.0,17.0,168.0,59954.55100000002,39964.958999999995,0.0,0.3741496598639456
SOLDIER,195240.0,2186.0,3629.0,72.0,38.0,996.0,18698.0,141260.67299999992,300592.62099999987,0.0,0.6023697988426564
MEDIC,49377.0,464.0,616.0,5.0,31.0,31.0,322.0,27555.119000000006,55616.43599999998,31891.0,0.7532467532467533
NECRO,14240.0,244.0,165.0,0.0,4.0,17.0,162.0,12355.092999999999,19963.385000000006,0.0,1.4787878787878788
PYRO,6767.0,69.0,54.0,0.0,20.0,0.0,0.0,3937.5950000000003,4956.368,0.0,1.2777777777777777
ENGINEER,102070.0,1339.0,1095.0,0.0,141.0,41.0,271.0,98291.98799999997,102662.28299999997,0.0,1.2228310502283104
CHEMIST,83254.0,1351.0,1980.0,22.0,17.0,407.0,4764.0,77645.10099999998,162301.32,0.0,0.6823232323232323
HEAVY,33998.0,557.0,398.0,7.0,24.0,46.0,2158.0,46303.17399999999,56012.53500000001,0.0,1.399497487437186
ARCHER,2154.0,21.0,20.0,0.0,0.0,0.0,0.0,749.61,1344.205,0.0,1.05
ASSASSIN,5113.0,79.0,109.0,0.0,16.0,0.0,0.0,3108.0379999999996,2824.989,0.0,0.7247706422018348
MAGE,326.0,1.0,2.0,0.0,0.0,1.0,10.0,124.799,168.938,0.0,0.5
ELF,8492.0,72.0,177.0,6.0,1.0,52.0,740.0,4096.732,13337.020999999995,0.0,0.4067796610169492
SCOUT,1117.0,11.0,18.0,1.0,1.0,4.0,62.0,530.823,781.5269999999999,0.0,0.6111111111111112
FASHIONISTA,115.0,0.0,3.0,0.0,0.0,0.0,0.0,193.5,250.15,0.0,0.0
DWARF,65.0,0.0,1.0,0.0,0.0,0.0,0.0,37.442,25.04,0.0,0.0
