kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,32650.0,248.0,728.0,1.0,54.0,7.0,90.0,25088.52600000001,19403.016,0.0,0.34065934065934067
HEAVY,18845.0,143.0,161.0,5.0,7.0,31.0,1327.0,12595.716999999999,18123.544999999995,0.0,0.8881987577639752
SOLDIER,12949.0,77.0,135.0,7.0,23.0,30.0,1492.0,6144.523,10521.01,0.0,0.5703703703703704
ARCHER,1190.0,3.0,5.0,1.0,0.0,1.0,59.0,282.706,289.685,0.0,0.6
CHEMIST,5377.0,29.0,64.0,1.0,1.0,6.0,126.0,2100.5289999999995,4848.091,0.0,0.453125
MEDIC,25042.0,131.0,163.0,0.0,16.0,6.0,368.0,8282.64,17946.745000000003,14302.0,0.803680981595092
ASSASSIN,1033.0,10.0,18.0,0.0,0.0,0.0,1.0,214.873,395.752,0.0,0.5555555555555556
MAGE,993.0,0.0,7.0,1.0,0.0,2.0,98.0,219.0,504.798,0.0,0.0
PYRO,3909.0,27.0,21.0,0.0,16.0,0.0,0.0,1638.095,2367.755,0.0,1.2857142857142858
ELF,538.0,2.0,3.0,1.0,0.0,1.0,29.0,41.25,97.519,0.0,0.6666666666666666
ENGINEER,52.0,0.0,1.0,0.0,0.0,1.0,6.0,17.5,40.07,0.0,0.0
FASHIONISTA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
