kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,17680.0,338.0,175.0,0.0,60.0,0.0,9.0,16537.462999999996,18804.565,0.0,1.9314285714285715
SOLDIER,5873.0,38.0,84.0,5.0,0.0,30.0,1600.0,2677.9030000000002,8699.829000000002,0.0,0.4523809523809524
ASSASSIN,42289.0,1215.0,1255.0,1.0,95.0,15.0,327.0,32016.420000000002,30695.94,0.0,0.9681274900398407
MAGE,18152.0,199.0,241.0,0.0,13.0,17.0,154.0,19229.152000000006,14459.212000000001,0.0,0.8257261410788381
ARCHER,16011.0,483.0,197.0,0.0,5.0,6.0,72.0,11898.234999999999,12720.675,0.0,2.451776649746193
MEDIC,19368.0,286.0,345.0,4.0,6.0,45.0,1213.0,11604.681,36778.273,9050.0,0.8289855072463768
NINJA,7472.0,131.0,261.0,4.0,28.0,19.0,240.0,11036.970999999998,6745.287,0.0,0.5019157088122606
CHEMIST,5783.0,73.0,47.0,4.0,7.0,11.0,319.0,3980.783,4418.558,0.0,1.553191489361702
HEAVY,8856.0,164.0,121.0,4.0,6.0,38.0,1111.0,12977.142,16740.513000000003,0.0,1.3553719008264462
SCOUT,108016.0,1013.0,1942.0,3.0,210.0,117.0,657.0,65532.848999999995,91482.27799999999,0.0,0.5216271884654995
ELF,145.0,0.0,4.0,0.0,0.0,1.0,28.0,31.0,154.25,0.0,0.0
ENGINEER,768.0,7.0,14.0,0.0,0.0,0.0,0.0,821.129,1332.876,0.0,0.5
NECRO,21.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,104.765,0.0,0.0
