kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,9490.0,169.0,69.0,1.0,34.0,2.0,19.0,7836.2970000000005,7648.464,0.0,2.449275362318841
CHEMIST,75843.0,1384.0,1447.0,16.0,12.0,246.0,3802.0,68764.918,126630.922,0.0,0.9564616447823082
HEAVY,88538.0,1527.0,1058.0,6.0,52.0,88.0,2166.0,119533.87700000002,143451.55999999994,0.0,1.443289224952741
SOLDIER,104589.0,1111.0,1172.0,7.0,142.0,97.0,2427.0,124365.727,131439.203,0.0,0.9479522184300341
MEDIC,48547.0,461.0,392.0,1.0,50.0,10.0,188.0,23501.660000000003,42369.32999999998,45803.0,1.1760204081632653
NECRO,3271.0,46.0,69.0,0.0,1.0,6.0,78.0,3383.9170000000004,5793.044,0.0,0.6666666666666666
ASSASSIN,287.0,4.0,6.0,0.0,0.0,0.0,0.0,124.28,174.588,0.0,0.6666666666666666
ELF,152.0,2.0,4.0,0.0,1.0,1.0,4.0,160.491,221.739,0.0,0.5
ARCHER,176.0,1.0,7.0,0.0,0.0,0.0,0.0,156.86,257.678,0.0,0.14285714285714285
DWARF,71.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,113.72,0.0,0.0
NINJA,5993.0,4.0,16.0,0.0,0.0,0.0,0.0,605.767,821.35,0.0,0.25
ENGINEER,19.0,0.0,1.0,0.0,0.0,1.0,1.0,23.5,30.796,0.0,0.0
MAGE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.5,0.0,NaN
