kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,16123.0,172.0,247.0,9.0,9.0,103.0,2550.0,10269.458999999999,20825.007,0.0,0.6963562753036437
HEAVY,1945.0,21.0,14.0,0.0,1.0,4.0,16.0,1068.017,1301.401,0.0,1.5
CHEMIST,218.0,2.0,2.0,0.0,1.0,0.0,0.0,152.426,113.671,0.0,1.0
MEDIC,137.0,1.0,1.0,0.0,0.0,0.0,0.0,105.75,172.95,8.0,1.0
SCOUT,614.0,14.0,10.0,0.0,4.0,1.0,4.0,652.698,444.937,0.0,1.4
NECRO,1374.0,40.0,22.0,2.0,2.0,11.0,134.0,1123.28,2146.3720000000003,0.0,1.8181818181818181
ELF,286.0,1.0,3.0,0.0,0.0,0.0,0.0,56.449,128.25,0.0,0.3333333333333333
MAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,1869.0,29.0,30.0,0.0,0.0,6.0,41.0,1050.659,1800.45,0.0,0.9666666666666667
FASHIONISTA,474.0,3.0,4.0,0.0,0.0,2.0,50.0,54.259,247.324,0.0,0.75
ARCHER,163.0,0.0,1.0,0.0,0.0,2.0,33.0,27.95,231.659,0.0,0.0
NINJA,34.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,0.0
ASSASSIN,153.0,5.0,4.0,0.0,2.0,0.0,0.0,67.232,93.69,0.0,1.25
PYRO,513.0,9.0,8.0,0.0,2.0,0.0,0.0,298.635,527.039,0.0,1.125
