kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,74004.0,729.0,1611.0,37.0,8.0,386.0,6085.0,51119.325,130878.05299999999,0.0,0.45251396648044695
CHEMIST,44205.0,561.0,878.0,11.0,16.0,121.0,2158.0,45506.82600000001,86214.58199999997,0.0,0.6389521640091116
HEAVY,12131.0,179.0,200.0,2.0,2.0,18.0,799.0,15679.204000000005,23478.327,0.0,0.895
NINJA,4110.0,35.0,141.0,0.0,9.0,9.0,50.0,4968.975,3825.149,0.0,0.24822695035460993
ASSASSIN,2627.0,53.0,71.0,0.0,6.0,0.0,0.0,1320.435,1678.504,0.0,0.7464788732394366
SCOUT,225.0,3.0,6.0,0.0,1.0,0.0,0.0,92.25,225.704,0.0,0.5
MEDIC,4496.0,19.0,24.0,0.0,16.0,0.0,0.0,3314.4469999999997,3310.7870000000003,5475.0,0.7916666666666666
PYRO,213.0,4.0,1.0,0.0,1.0,0.0,0.0,133.92,106.5,0.0,4.0
ELF,49.0,1.0,1.0,0.0,0.0,0.0,0.0,18.614,102.246,0.0,1.0
NECRO,607.0,8.0,14.0,0.0,0.0,2.0,31.0,733.413,1277.808,0.0,0.5714285714285714
ENGINEER,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
