kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,27373.0,383.0,289.0,10.0,32.0,82.0,2318.0,35059.078,29575.774999999994,0.0,1.3252595155709344
NINJA,81472.0,1435.0,2842.0,5.0,151.0,78.0,446.0,157169.61099999998,77676.31499999999,0.0,0.5049261083743842
HEAVY,28906.0,611.0,293.0,4.0,25.0,46.0,1058.0,48809.273,37181.632,0.0,2.0853242320819114
MEDIC,13299.0,244.0,206.0,2.0,1.0,24.0,157.0,10445.386,19344.659,9421.0,1.1844660194174756
ELF,9280.0,127.0,140.0,7.0,3.0,56.0,1179.0,4868.588,11486.619999999999,0.0,0.9071428571428571
ASSASSIN,5667.0,157.0,150.0,0.0,16.0,0.0,0.0,4088.458,3635.112,0.0,1.0466666666666666
PYRO,1580.0,21.0,17.0,0.0,2.0,0.0,0.0,1057.315,1293.54,0.0,1.2352941176470589
ARCHER,1355.0,15.0,4.0,0.0,1.0,1.0,9.0,635.329,371.57599999999996,0.0,3.75
CHEMIST,13648.0,382.0,311.0,11.0,3.0,102.0,1013.0,16570.746,25815.679000000007,0.0,1.2282958199356913
SCOUT,1604.0,12.0,38.0,0.0,0.0,2.0,16.0,994.366,1416.071,0.0,0.3157894736842105
MAGE,750.0,1.0,12.0,0.0,0.0,0.0,0.0,509.02799999999996,444.637,0.0,0.08333333333333333
ENGINEER,56.0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,67.495,0.0,1.0
NECRO,168.0,5.0,4.0,0.0,0.0,0.0,0.0,303.848,325.90200000000004,0.0,1.25
