kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,94039.0,1593.0,903.0,24.0,73.0,175.0,5347.0,168661.62000000008,126180.87500000004,0.0,1.7641196013289036
ARCHER,392289.0,13291.0,4988.0,6.0,23.0,54.0,954.0,356444.56399999955,305531.54600000003,0.0,2.6645950280673616
SOLDIER,56766.0,994.0,970.0,21.0,52.0,226.0,3838.0,84148.45800000001,83962.37099999997,0.0,1.024742268041237
MEDIC,47060.0,507.0,445.0,8.0,36.0,78.0,1487.0,30738.501999999997,47286.354999999996,58949.0,1.1393258426966293
PYRO,82766.0,1707.0,848.0,2.0,405.0,23.0,182.0,89767.47699999998,74925.83999999995,0.0,2.0129716981132075
NINJA,383968.0,8907.0,19392.0,19.0,872.0,317.0,1880.0,1.118405961999999e6,499041.70599999995,0.0,0.4593131188118812
SCOUT,63897.0,688.0,1300.0,5.0,51.0,204.0,1290.0,43340.76200000002,47415.44999999997,0.0,0.5292307692307693
CHEMIST,101617.0,2196.0,1929.0,36.0,26.0,516.0,8893.0,130523.68599999997,183786.14000000013,0.0,1.1384136858475895
MAGE,83638.0,813.0,1056.0,3.0,29.0,65.0,835.0,78636.639,59194.21399999999,0.0,0.7698863636363636
NECRO,9735.0,290.0,134.0,5.0,1.0,14.0,385.0,12625.402999999998,14156.71,8.0,2.1641791044776117
ASSASSIN,29806.0,1019.0,997.0,0.0,96.0,6.0,57.0,33495.200000000004,24868.061999999998,0.0,1.0220661985957873
ELF,39144.0,520.0,579.0,12.0,1.0,105.0,3551.0,28708.49700000001,50515.00600000001,0.0,0.8981001727115717
ENGINEER,21337.0,309.0,266.0,1.0,6.0,54.0,1104.0,22763.903,22205.369,0.0,1.1616541353383458
FASHIONISTA,13.0,1.0,1.0,0.0,0.0,0.0,0.0,13.039,8.25,0.0,1.0
