kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,171493.0,3647.0,1912.0,18.0,234.0,197.0,4626.0,394148.1659999999,321245.5009999999,0.0,1.907426778242678
ARCHER,930441.0,36897.0,13853.0,16.0,66.0,36.0,1474.0,989113.0869999994,964089.4789999996,0.0,2.663466397170288
NECRO,13407.0,429.0,288.0,3.0,4.0,28.0,355.0,22737.774999999998,29299.926000000003,0.0,1.4895833333333333
SOLDIER,70576.0,1377.0,1085.0,24.0,79.0,211.0,6773.0,93884.621,115586.93900000003,0.0,1.2691244239631336
CHEMIST,413.0,6.0,4.0,0.0,2.0,0.0,0.0,318.218,62.4,0.0,1.5
ASSASSIN,24202.0,889.0,998.0,0.0,82.0,9.0,32.0,33496.231,25048.734,0.0,0.8907815631262525
ELF,109800.0,2191.0,2481.0,81.0,11.0,718.0,14026.0,92124.35399999999,215545.32200000001,0.0,0.8831116485288191
ENGINEER,1222.0,8.0,17.0,0.0,0.0,0.0,0.0,805.652,1103.291,0.0,0.47058823529411764
PYRO,12400.0,198.0,117.0,1.0,67.0,1.0,5.0,12171.630999999998,10812.276999999998,0.0,1.6923076923076923
NINJA,13788.0,203.0,553.0,1.0,20.0,11.0,136.0,25385.363,12830.742999999999,0.0,0.3670886075949367
SCOUT,2377.0,41.0,64.0,0.0,3.0,1.0,0.0,2538.264,2486.732,0.0,0.640625
MAGE,201.0,1.0,4.0,0.0,0.0,0.0,0.0,86.499,106.486,0.0,0.25
MEDIC,7819.0,150.0,152.0,1.0,5.0,2.0,78.0,7109.901000000001,14476.193000000001,7013.0,0.9868421052631579
