kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,42318.0,389.0,374.0,3.0,19.0,21.0,355.0,41168.304999999986,44873.254,0.0,1.0401069518716577
MEDIC,323894.0,3340.0,4563.0,25.0,162.0,163.0,4019.0,160870.6239999999,420911.4860000001,284622.0,0.7319745781284243
SOLDIER,24845.0,217.0,326.0,1.0,30.0,31.0,418.0,26069.1,30831.990000000005,0.0,0.6656441717791411
CHEMIST,7241.0,18.0,56.0,0.0,3.0,0.0,0.0,1178.0800000000002,1261.8290000000002,0.0,0.32142857142857145
NECRO,19808.0,253.0,216.0,1.0,5.0,2.0,646.0,13721.122999999998,17693.751999999997,0.0,1.1712962962962963
NINJA,22549.0,254.0,694.0,3.0,64.0,8.0,93.0,34821.445,19768.867999999995,0.0,0.3659942363112392
ENGINEER,2073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
FASHIONISTA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ELF,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
PYRO,2904.0,43.0,24.0,0.0,11.0,0.0,0.0,2177.781,2108.541,0.0,1.7916666666666667
SCOUT,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ASSASSIN,182.0,0.0,0.0,1.0,0.0,1.0,40.0,0.0,0.0,0.0,NaN
