kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,213493.0,3351.0,2840.0,78.0,218.0,668.0,16324.0,263017.48599999974,299454.8230000001,0.0,1.1799295774647887
HEAVY,90018.0,1895.0,994.0,10.0,62.0,87.0,2645.0,173050.35399999996,141398.57799999995,0.0,1.9064386317907445
MEDIC,176742.0,3407.0,2494.0,22.0,22.0,101.0,5185.0,129606.02500000002,278865.43899999995,124944.0,1.3660785886126705
SCOUT,23646.0,256.0,455.0,0.0,16.0,15.0,78.0,18407.135,17592.223999999995,0.0,0.5626373626373626
CHEMIST,82180.0,2119.0,1324.0,25.0,14.0,258.0,7395.0,113360.43400000004,151155.966,0.0,1.600453172205438
ELF,192356.0,3448.0,3318.0,80.0,14.0,1034.0,21957.0,143306.649,295392.603,0.0,1.0391802290536467
ENGINEER,5974.0,91.0,69.0,1.0,10.0,3.0,277.0,7589.768999999999,6602.563999999999,0.0,1.318840579710145
FASHIONISTA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NECRO,15833.0,337.0,140.0,4.0,5.0,8.0,396.0,16444.571,17403.367000000002,0.0,2.407142857142857
NINJA,56963.0,1027.0,2108.0,11.0,135.0,38.0,668.0,129795.58199999995,54992.861000000026,0.0,0.48719165085388993
ASSASSIN,12666.0,406.0,341.0,0.0,46.0,0.0,0.0,13817.467,8930.211,0.0,1.1906158357771262
PYRO,94261.0,2450.0,694.0,1.0,547.0,1.0,102.0,97926.89400000001,84496.79100000001,0.0,3.5302593659942363
ARCHER,13011.0,451.0,186.0,1.0,2.0,1.0,15.0,11930.162000000002,10779.563,0.0,2.424731182795699
DWARF,676.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.69,0.0,0.0
MAGE,13191.0,104.0,131.0,1.0,2.0,3.0,116.0,12318.050000000003,9110.920999999998,0.0,0.7938931297709924
