kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,605828.0,11551.0,25750.0,10.0,2123.0,171.0,1543.0,1.5728172740000004e6,770978.9350000006,0.0,0.44858252427184464
SCOUT,583.0,3.0,12.0,0.0,0.0,1.0,6.0,383.89599999999996,387.043,0.0,0.25
HEAVY,128986.0,2649.0,936.0,5.0,251.0,56.0,1127.0,277623.05899999983,180346.11100000012,0.0,2.8301282051282053
CHEMIST,4093.0,67.0,58.0,0.0,3.0,5.0,191.0,3995.4560000000006,4707.651,0.0,1.1551724137931034
NECRO,2737.0,54.0,20.0,0.0,2.0,0.0,0.0,4633.218,3107.141,0.0,2.7
MAGE,23960.0,214.0,246.0,0.0,24.0,3.0,106.0,19340.807999999994,13770.599000000002,0.0,0.8699186991869918
DWARF,58.0,0.0,0.0,0.0,0.0,0.0,0.0,43.049,43.215,0.0,NaN
SOLDIER,42426.0,758.0,380.0,6.0,109.0,14.0,648.0,83595.33899999998,54836.09600000001,0.0,1.9947368421052631
ASSASSIN,4244.0,141.0,160.0,0.0,13.0,1.0,7.0,6000.484,4542.848000000001,0.0,0.88125
ELF,490.0,9.0,3.0,0.0,0.0,0.0,0.0,234.322,200.446,0.0,3.0
ARCHER,1662.0,30.0,29.0,0.0,0.0,0.0,31.0,1038.219,1736.849,0.0,1.0344827586206897
ENGINEER,22136.0,283.0,191.0,0.0,23.0,6.0,157.0,26595.752,19992.953999999998,0.0,1.4816753926701571
FASHIONISTA,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
PYRO,20920.0,371.0,122.0,0.0,90.0,0.0,68.0,17208.394999999997,14631.562,0.0,3.040983606557377
MEDIC,2532.0,28.0,31.0,0.0,3.0,1.0,2.0,3192.071,3450.761,2712.0,0.9032258064516129
