kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,64282.0,1122.0,471.0,18.0,38.0,77.0,2052.0,75152.36399999997,59385.01099999998,0.0,2.3821656050955413
SOLDIER,90784.0,1124.0,1112.0,213.0,35.0,519.0,16195.0,58191.589,97195.38900000004,0.0,1.0107913669064748
MEDIC,41385.0,972.0,591.0,5.0,28.0,44.0,749.0,41075.29999999998,58398.397,28776.0,1.6446700507614214
ASSASSIN,72008.0,3343.0,2589.0,1.0,415.0,14.0,101.0,87075.137,64222.73399999997,0.0,1.29123213595983
NINJA,285081.0,8204.0,11443.0,24.0,2067.0,77.0,1100.0,777974.3510000004,336097.03900000005,0.0,0.7169448571178887
PYRO,438954.0,11766.0,4023.0,6.0,3079.0,15.0,240.0,473834.00200000027,370130.3109999997,0.0,2.924683072334079
ENGINEER,194.0,2.0,2.0,0.0,0.0,0.0,0.0,204.406,79.5,0.0,1.0
DWARF,385.0,0.0,3.0,0.0,0.0,0.0,0.0,134.699,216.72500000000002,0.0,0.0
MAGE,2419.0,8.0,10.0,0.0,2.0,3.0,66.0,585.2470000000001,969.3349999999999,0.0,0.8
ELF,1453.0,2.0,3.0,0.0,0.0,0.0,0.0,13.0,57.186,0.0,0.6666666666666666
NECRO,100.0,0.0,3.0,0.0,0.0,1.0,19.0,15.0,51.479,0.0,0.0
CHEMIST,25272.0,409.0,330.0,27.0,13.0,59.0,1674.0,23710.331999999995,25170.178000000004,0.0,1.2393939393939395
ARCHER,2472.0,36.0,29.0,0.0,0.0,0.0,0.0,1158.3339999999998,1488.155,0.0,1.2413793103448276
FASHIONISTA,948.0,3.0,5.0,1.0,1.0,2.0,43.0,79.799,198.06900000000002,0.0,0.6
SCOUT,17.0,1.0,0.0,0.0,0.0,0.0,0.0,59.5,10.399,0.0,Inf
