kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,59586.0,1716.0,1893.0,1.0,247.0,6.0,81.0,48423.24700000002,45827.65499999999,0.0,0.9064976228209192
SOLDIER,151729.0,1404.0,2216.0,141.0,37.0,1196.0,34278.0,72117.39899999998,212423.2230000002,0.0,0.6335740072202166
HEAVY,27658.0,560.0,438.0,8.0,9.0,120.0,1827.0,39931.20999999999,53098.278,0.0,1.278538812785388
ARCHER,111122.0,3592.0,1318.0,1.0,6.0,3.0,51.0,86084.449,85905.63399999996,0.0,2.725341426403642
NINJA,141421.0,2125.0,5994.0,24.0,390.0,255.0,1589.0,280913.86900000006,157054.27300000007,0.0,0.3545211878545212
CHEMIST,145952.0,2893.0,2668.0,116.0,45.0,1031.0,25546.0,158726.254,326387.9129999998,0.0,1.0843328335832083
ELF,76392.0,914.0,1315.0,80.0,11.0,628.0,14311.0,32343.924,121950.114,0.0,0.6950570342205323
PYRO,15075.0,264.0,139.0,0.0,55.0,1.0,0.0,12384.400000000001,12938.585,0.0,1.8992805755395683
SCOUT,74519.0,689.0,1484.0,3.0,55.0,185.0,1315.0,44199.219999999994,56971.505,0.0,0.4642857142857143
MEDIC,107067.0,1484.0,1495.0,14.0,20.0,222.0,2919.0,53080.83399999999,154356.69400000005,61721.0,0.9926421404682274
MAGE,11064.0,99.0,143.0,1.0,7.0,4.0,38.0,11269.707,9218.511,0.0,0.6923076923076923
NECRO,1347.0,22.0,11.0,0.0,1.0,1.0,0.0,1276.84,1299.6909999999998,0.0,2.0
ENGINEER,1281.0,9.0,13.0,0.0,0.0,1.0,5.0,524.309,956.2529999999999,0.0,0.6923076923076923
