kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,84902.0,904.0,315.0,6.0,65.0,61.0,3398.0,74246.71399999996,51140.12700000001,0.0,2.86984126984127
SOLDIER,78740.0,1337.0,669.0,54.0,122.0,233.0,10618.0,96213.22099999995,78488.288,0.0,1.9985052316890881
MAGE,12207.0,92.0,53.0,3.0,14.0,11.0,1331.0,8619.723,5311.3809999999985,0.0,1.7358490566037736
ASSASSIN,3835.0,92.0,90.0,0.0,12.0,2.0,33.0,2920.731,2021.129,0.0,1.0222222222222221
ARCHER,56154.0,1774.0,543.0,2.0,8.0,5.0,203.0,40790.56099999999,28825.18600000001,0.0,3.2670349907918967
MEDIC,56831.0,726.0,528.0,21.0,19.0,85.0,1915.0,37672.862,62784.945999999996,20555.0,1.375
CHEMIST,190382.0,4411.0,2644.0,56.0,112.0,440.0,8008.0,255501.09799999994,253155.10799999992,0.0,1.6683055975794252
NINJA,100370.0,2247.0,2983.0,9.0,342.0,27.0,601.0,201000.82100000005,75033.73100000003,0.0,0.7532685216225277
PYRO,9779.0,210.0,102.0,1.0,48.0,0.0,0.0,9290.181999999999,8236.304,0.0,2.0588235294117645
DWARF,931.0,8.0,4.0,0.0,0.0,0.0,0.0,510.084,495.46599999999995,0.0,2.0
NECRO,286.0,3.0,1.0,0.0,0.0,0.0,0.0,239.375,76.687,1.0,3.0
ENGINEER,3498.0,31.0,9.0,0.0,0.0,1.0,12.0,2126.702,684.264,0.0,3.4444444444444446
ELF,3919.0,29.0,35.0,1.0,4.0,6.0,58.0,2010.452,1606.506,0.0,0.8285714285714286
FASHIONISTA,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,NaN
