kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,104014.0,1041.0,317.0,6.0,132.0,25.0,620.0,116011.93200000002,77543.74500000001,0.0,3.2839116719242902
SOLDIER,172861.0,1894.0,991.0,11.0,320.0,46.0,2656.0,212065.69700000001,143318.16100000005,0.0,1.9112008072653885
CHEMIST,1655.0,11.0,7.0,0.0,1.0,0.0,0.0,1138.906,571.3969999999999,0.0,1.5714285714285714
ARCHER,51502.0,1076.0,450.0,1.0,3.0,0.0,5.0,30482.501,26414.024999999994,0.0,2.391111111111111
MEDIC,23034.0,153.0,194.0,2.0,8.0,2.0,235.0,9643.270999999999,20547.868000000002,9215.0,0.788659793814433
NINJA,20631.0,255.0,611.0,0.0,31.0,0.0,0.0,30640.637000000002,16996.445,0.0,0.41734860883797054
PYRO,10090.0,114.0,118.0,0.0,28.0,0.0,3.0,6858.743,8092.646,0.0,0.9661016949152542
MAGE,1395.0,4.0,3.0,0.0,0.0,0.0,0.0,373.103,238.223,0.0,1.3333333333333333
ASSASSIN,80.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,20.728,0.0,0.0
ELF,141.0,1.0,0.0,0.0,1.0,0.0,0.0,50.399,24.75,0.0,Inf
