kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,362686.0,3261.0,1905.0,22.0,492.0,163.0,5204.0,309711.60799999983,265699.639,0.0,1.7118110236220472
CHEMIST,18629.0,105.0,189.0,1.0,5.0,2.0,15.0,5819.897999999999,7799.777000000002,0.0,0.5555555555555556
MEDIC,1.335313e6,12424.0,14604.0,130.0,474.0,587.0,24431.0,620175.0349999995,1.4839590940000007e6,942855.0,0.850725828540126
NINJA,334813.0,2176.0,6674.0,17.0,685.0,79.0,3400.0,278515.11999999994,188203.13300000015,0.0,0.32604135451003896
SOLDIER,56055.0,375.0,558.0,24.0,55.0,119.0,3455.0,32423.243000000006,42894.24499999998,0.0,0.6720430107526881
ASSASSIN,113336.0,1988.0,2676.0,8.0,383.0,19.0,539.0,54780.048,63248.972000000016,0.0,0.7428998505231689
ARCHER,2507.0,18.0,38.0,0.0,0.0,0.0,0.0,721.4480000000001,1411.722,0.0,0.47368421052631576
ENGINEER,4865.0,11.0,18.0,0.0,0.0,0.0,0.0,1821.6599999999999,1344.9910000000002,0.0,0.6111111111111112
ELF,2308.0,10.0,19.0,0.0,2.0,1.0,9.0,569.72,789.856,0.0,0.5263157894736842
MAGE,7601.0,17.0,46.0,0.0,1.0,0.0,0.0,1823.003,3132.16,0.0,0.3695652173913043
NECRO,5315.0,62.0,55.0,0.0,0.0,1.0,180.0,3402.416,5347.669,706.0,1.1272727272727272
DWARF,623.0,2.0,7.0,0.0,0.0,0.0,0.0,178.94400000000002,487.62,0.0,0.2857142857142857
PYRO,63700.0,944.0,476.0,1.0,277.0,1.0,86.0,47063.964,47835.145000000004,0.0,1.9831932773109244
FASHIONISTA,961.0,3.0,8.0,0.0,0.0,0.0,0.0,257.886,360.151,0.0,0.375
SCOUT,6913.0,66.0,151.0,0.0,14.0,0.0,0.0,5492.065,5868.022,0.0,0.4370860927152318
