kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,165375.0,1347.0,792.0,11.0,76.0,106.0,4258.0,142679.57599999997,120731.21700000003,0.0,1.7007575757575757
SOLDIER,179722.0,2392.0,2720.0,116.0,85.0,928.0,27661.0,173684.68099999998,262039.9949999997,0.0,0.8794117647058823
MEDIC,205259.0,2756.0,2676.0,26.0,36.0,297.0,7392.0,123880.38499999998,292578.14600000007,110769.0,1.0298953662182362
MAGE,6041.0,7.0,26.0,3.0,1.0,11.0,547.0,1646.634,2256.803,0.0,0.2692307692307692
ELF,32141.0,367.0,520.0,24.0,3.0,175.0,6051.0,18949.642,44987.101,0.0,0.7057692307692308
ARCHER,28813.0,628.0,351.0,1.0,7.0,8.0,235.0,19124.37,23441.25,0.0,1.789173789173789
NINJA,637449.0,12310.0,28117.0,23.0,1799.0,236.0,2028.0,1.6934617240000013e6,756653.5419999998,0.0,0.43781342248461785
DWARF,521.0,1.0,6.0,0.0,0.0,1.0,87.0,10.0,227.68900000000002,0.0,0.16666666666666666
NECRO,13236.0,391.0,198.0,5.0,3.0,28.0,640.0,16886.407,19190.886,0.0,1.9747474747474747
CHEMIST,181260.0,3627.0,3255.0,84.0,56.0,882.0,18593.0,212032.06000000003,324100.9570000001,0.0,1.1142857142857143
PYRO,127282.0,2431.0,1289.0,4.0,447.0,33.0,861.0,112480.47899999995,114081.083,0.0,1.8859581070597362
ASSASSIN,22818.0,470.0,633.0,2.0,59.0,14.0,153.0,14660.866000000004,14394.044999999996,0.0,0.7424960505529226
ENGINEER,7268.0,56.0,61.0,2.0,1.0,12.0,292.0,3690.0480000000002,4556.781000000001,0.0,0.9180327868852459
FASHIONISTA,266.0,0.0,2.0,0.0,0.0,0.0,0.0,88.48,34.879,0.0,0.0
SCOUT,13136.0,140.0,327.0,0.0,5.0,12.0,43.0,10089.246,12020.678000000004,0.0,0.42813455657492355
