kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,32093.0,466.0,272.0,3.0,30.0,34.0,1651.0,45348.240999999995,41500.38400000001,0.0,1.713235294117647
NINJA,110490.0,2101.0,4786.0,4.0,275.0,91.0,630.0,238642.62900000004,131055.93800000002,0.0,0.43898871709151693
PYRO,31069.0,691.0,308.0,1.0,146.0,2.0,85.0,30637.935,29020.477,0.0,2.2435064935064934
ARCHER,121459.0,3585.0,1836.0,3.0,4.0,10.0,132.0,92937.95199999999,101654.54499999998,0.0,1.9526143790849673
CHEMIST,105862.0,1783.0,1899.0,45.0,20.0,492.0,9983.0,89915.68800000002,168653.99599999998,0.0,0.9389152185360716
MEDIC,272960.0,2928.0,2726.0,28.0,87.0,82.0,3580.0,118231.42699999987,281067.04499999987,314487.0,1.0741012472487161
ELF,65373.0,781.0,1216.0,41.0,7.0,389.0,7732.0,36179.07699999999,97855.44,0.0,0.6422697368421053
SOLDIER,102652.0,1301.0,1501.0,67.0,49.0,532.0,15411.0,92250.04599999997,150096.62499999997,0.0,0.8667554963357762
ASSASSIN,1.111755e6,44337.0,42460.0,12.0,4549.0,128.0,576.0,1.2206837480000001e6,1.0458711200000005e6,0.0,1.0442063118228921
MAGE,29184.0,388.0,421.0,1.0,7.0,9.0,157.0,32018.051999999996,25794.531999999996,0.0,0.9216152019002375
ENGINEER,5734.0,96.0,48.0,0.0,0.0,7.0,86.0,4302.767000000001,4817.092000000001,0.0,2.0
NECRO,32557.0,890.0,280.0,4.0,15.0,9.0,1834.0,41654.979,40475.47099999998,33.0,3.1785714285714284
SCOUT,35687.0,398.0,855.0,1.0,35.0,72.0,572.0,30297.684,34728.806,0.0,0.4654970760233918
DWARF,374.0,2.0,0.0,0.0,0.0,0.0,0.0,216.749,56.75,0.0,Inf
FASHIONISTA,399.0,1.0,4.0,0.0,0.0,0.0,0.0,35.5,161.11,0.0,0.25
