kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,119571.0,2324.0,3186.0,9.0,409.0,114.0,1395.0,61390.373999999974,71992.00899999999,0.0,0.7294413057124921
HEAVY,179532.0,1164.0,878.0,39.0,99.0,314.0,9472.0,85693.48000000004,94827.3470000001,0.0,1.325740318906606
NINJA,162198.0,2121.0,4709.0,54.0,387.0,355.0,3627.0,203590.61399999997,124385.85400000006,0.0,0.4504141006583139
ARCHER,76477.0,1555.0,941.0,8.0,15.0,66.0,1255.0,48322.506000000016,51763.71999999998,0.0,1.6524973432518597
MEDIC,92224.0,984.0,1182.0,31.0,34.0,249.0,5977.0,44781.239999999976,103024.68999999997,29930.0,0.8324873096446701
SOLDIER,221134.0,1828.0,3001.0,168.0,146.0,1406.0,38031.0,112815.67800000003,234253.08200000002,0.0,0.6091302899033656
PYRO,117224.0,2544.0,1332.0,5.0,449.0,53.0,581.0,103001.91100000001,95880.66599999998,0.0,1.90990990990991
ENGINEER,6220.0,57.0,69.0,2.0,3.0,14.0,285.0,5255.904,4659.87,0.0,0.8260869565217391
DWARF,9897.0,83.0,54.0,11.0,10.0,14.0,1859.0,3408.049,4251.131,0.0,1.537037037037037
CHEMIST,141836.0,1918.0,2327.0,94.0,72.0,811.0,15669.0,113548.436,185742.646,0.0,0.8242372152986678
NECRO,19866.0,459.0,129.0,7.0,19.0,25.0,1253.0,21636.453999999998,23548.439999999995,1.0,3.558139534883721
FASHIONISTA,6540.0,16.0,22.0,2.0,4.0,7.0,359.0,661.963,1878.451,0.0,0.7272727272727273
ELF,39991.0,264.0,562.0,29.0,11.0,226.0,3729.0,14226.540000000003,32497.280000000006,0.0,0.4697508896797153
MAGE,41774.0,369.0,439.0,9.0,34.0,94.0,2453.0,27710.657000000003,26536.463999999996,0.0,0.8405466970387244
SCOUT,4598.0,46.0,110.0,0.0,6.0,11.0,74.0,3681.402,4486.2119999999995,0.0,0.41818181818181815
