kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,7892.0,72.0,117.0,2.0,5.0,24.0,545.0,5481.958000000001,8751.860999999999,0.0,0.6153846153846154
MEDIC,2794.0,33.0,41.0,0.0,0.0,10.0,134.0,1558.262,3581.0590000000007,251.0,0.8048780487804879
ELF,26186.0,125.0,390.0,14.0,2.0,142.0,2314.0,7863.237000000001,22769.571999999993,0.0,0.32051282051282054
SOLDIER,152146.0,1019.0,2382.0,116.0,35.0,1015.0,26278.0,59478.91800000001,203394.02900000007,0.0,0.427791771620487
HEAVY,20709.0,223.0,220.0,5.0,11.0,45.0,848.0,17868.638,21786.97699999999,0.0,1.0136363636363637
NINJA,12670.0,162.0,339.0,5.0,26.0,9.0,266.0,13662.929999999997,8331.180999999999,0.0,0.4778761061946903
ASSASSIN,2664.0,44.0,42.0,0.0,9.0,0.0,0.0,1120.875,860.638,0.0,1.0476190476190477
FASHIONISTA,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,NaN
PYRO,8219.0,191.0,99.0,0.0,31.0,0.0,12.0,4767.888,4239.630999999999,0.0,1.9292929292929293
MAGE,90.0,2.0,2.0,0.0,0.0,0.0,0.0,27.76,82.587,0.0,1.0
NECRO,14564.0,235.0,194.0,4.0,7.0,22.0,475.0,12946.507,19124.428,0.0,1.211340206185567
ARCHER,54.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0
SCOUT,208.0,3.0,5.0,0.0,0.0,0.0,0.0,109.519,223.412,0.0,0.6
ENGINEER,1686.0,18.0,31.0,1.0,0.0,7.0,81.0,1405.062,2335.679,0.0,0.5806451612903226
