kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,258248.0,3507.0,4570.0,124.0,145.0,1926.0,33982.0,222865.34300000002,414041.76799999975,0.0,0.7673960612691466
HEAVY,117633.0,2539.0,1674.0,30.0,66.0,465.0,7173.0,185963.2169999999,214939.90599999987,0.0,1.516726403823178
CHEMIST,169289.0,3925.0,3326.0,66.0,73.0,859.0,13726.0,218432.55499999985,309673.9159999998,0.0,1.1800962116656644
MEDIC,126115.0,2437.0,1984.0,18.0,20.0,292.0,3496.0,96278.73399999995,213636.61999999994,58089.0,1.2283266129032258
PYRO,202577.0,4014.0,1828.0,2.0,761.0,8.0,108.0,181203.51500000007,187985.5949999999,0.0,2.1958424507658645
NINJA,178506.0,2906.0,6092.0,29.0,253.0,528.0,2882.0,318389.4460000001,191655.77500000005,0.0,0.47701904136572554
ASSASSIN,10869.0,330.0,335.0,0.0,29.0,3.0,24.0,8774.989000000001,7878.589999999999,0.0,0.9850746268656716
ELF,245797.0,4161.0,4719.0,146.0,25.0,1742.0,26684.0,167093.49999999997,425293.8520000003,0.0,0.8817546090273363
MAGE,12492.0,144.0,160.0,0.0,3.0,21.0,811.0,11182.588,8676.742999999999,0.0,0.9
ENGINEER,2127.0,25.0,32.0,0.0,1.0,12.0,128.0,1383.76,2313.675,0.0,0.78125
ARCHER,64848.0,1999.0,807.0,1.0,4.0,10.0,116.0,54715.014000000025,53482.20199999999,0.0,2.477075588599752
NECRO,7517.0,232.0,105.0,2.0,0.0,8.0,472.0,10771.927999999998,13175.580000000004,0.0,2.2095238095238097
SCOUT,39177.0,384.0,852.0,0.0,33.0,60.0,315.0,27615.93700000001,34208.768,0.0,0.4507042253521127
