kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,172862.0,4335.0,2811.0,40.0,69.0,452.0,7945.0,236679.719,289337.94200000016,0.0,1.5421558164354323
HEAVY,51005.0,841.0,374.0,4.0,14.0,53.0,1390.0,55114.473999999995,48506.50600000001,0.0,2.248663101604278
NINJA,120546.0,2656.0,4508.0,4.0,247.0,28.0,234.0,256613.77400000015,124249.663,0.0,0.5891748003549245
PYRO,39459.0,766.0,196.0,0.0,128.0,1.0,32.0,21835.479999999996,19159.128999999997,0.0,3.9081632653061225
SOLDIER,134462.0,2174.0,1989.0,64.0,68.0,704.0,19872.0,112193.35999999994,181052.46399999998,0.0,1.0930115635997988
ENGINEER,2808.0,31.0,7.0,1.0,0.0,3.0,167.0,1663.606,850.597,0.0,4.428571428571429
MEDIC,13249.0,242.0,161.0,1.0,1.0,6.0,120.0,7605.268999999999,17553.075999999997,5259.0,1.5031055900621118
ARCHER,31459.0,909.0,302.0,0.0,5.0,4.0,8.0,25785.965,15255.303999999995,0.0,3.0099337748344372
ASSASSIN,32616.0,830.0,654.0,1.0,125.0,4.0,78.0,24461.32,17186.427000000003,0.0,1.269113149847095
SCOUT,1696.0,18.0,43.0,0.0,0.0,0.0,0.0,1751.634,1762.7540000000001,0.0,0.4186046511627907
NECRO,9157.0,322.0,144.0,0.0,3.0,15.0,271.0,15615.866,18713.298,0.0,2.236111111111111
FASHIONISTA,70.0,1.0,1.0,0.0,0.0,0.0,0.0,64.889,61.389,0.0,1.0
ELF,1997.0,39.0,28.0,0.0,0.0,0.0,0.0,1302.616,1840.18,0.0,1.3928571428571428
