kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,44176.0,1196.0,287.0,15.0,77.0,47.0,4223.0,110445.33700000004,66746.87999999998,0.0,4.167247386759582
NINJA,401310.0,11173.0,14443.0,27.0,1626.0,246.0,1861.0,1.1478913499999994e6,471608.34600000025,0.0,0.7735927438897736
MEDIC,57413.0,1061.0,529.0,11.0,28.0,78.0,1972.0,61888.98100000002,74713.874,58478.0,2.0056710775047257
ARCHER,253793.0,10363.0,3031.0,10.0,25.0,28.0,1380.0,285440.7380000001,210396.6319999999,0.0,3.419003629165292
PYRO,66310.0,1543.0,463.0,2.0,299.0,4.0,30.0,69097.11700000003,50952.87600000001,0.0,3.3326133909287257
SOLDIER,47302.0,1111.0,467.0,31.0,54.0,175.0,7977.0,73974.449,60914.07600000001,0.0,2.379014989293362
CHEMIST,112592.0,3777.0,1551.0,54.0,65.0,392.0,15447.0,225493.10100000014,221115.31499999986,0.0,2.4352030947775627
ELF,12037.0,256.0,192.0,6.0,3.0,74.0,1814.0,13340.011999999999,18520.395,0.0,1.3333333333333333
ASSASSIN,36833.0,1576.0,1056.0,0.0,157.0,9.0,38.0,47888.06699999999,30972.114999999994,0.0,1.4924242424242424
MAGE,7483.0,78.0,57.0,1.0,3.0,1.0,77.0,8793.533,5609.802,0.0,1.368421052631579
SCOUT,106088.0,2061.0,1905.0,3.0,196.0,149.0,926.0,143339.064,95927.88699999996,0.0,1.0818897637795275
ENGINEER,3030.0,41.0,17.0,1.0,4.0,9.0,705.0,2915.45,2428.705,0.0,2.411764705882353
DWARF,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECRO,29667.0,897.0,217.0,2.0,46.0,8.0,720.0,65938.16200000001,46299.51900000001,0.0,4.1336405529953915
FASHIONISTA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,NaN
