kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,52562.0,1230.0,386.0,0.0,292.0,5.0,30.0,61431.064,45822.806,0.0,3.1865284974093266
SCOUT,49601.0,493.0,916.0,1.0,58.0,57.0,619.0,38758.518,35143.95899999998,0.0,0.5382096069868996
NINJA,215307.0,4261.0,8288.0,17.0,892.0,128.0,1152.0,498520.8739999999,235054.2099999999,0.0,0.5141167953667953
HEAVY,19053.0,355.0,203.0,3.0,19.0,34.0,1107.0,31804.081000000006,28046.63200000001,0.0,1.748768472906404
ARCHER,19429.0,453.0,293.0,0.0,0.0,6.0,28.0,15121.428999999995,15970.11,0.0,1.546075085324232
CHEMIST,388010.0,9148.0,7633.0,247.0,87.0,2746.0,55569.0,485607.221,814685.6689999999,0.0,1.1984802829817895
SOLDIER,124803.0,1258.0,2062.0,62.0,46.0,958.0,20015.0,77485.71000000002,178369.1150000001,0.0,0.6100872938894277
NECRO,2822.0,64.0,47.0,0.0,4.0,1.0,5.0,4827.813999999999,4854.825000000001,0.0,1.3617021276595744
MEDIC,6706.0,87.0,98.0,0.0,3.0,13.0,175.0,5483.866,10196.402999999998,7899.0,0.8877551020408163
ELF,37206.0,499.0,747.0,20.0,5.0,223.0,3267.0,20115.779000000013,51652.486000000004,0.0,0.6680053547523427
ASSASSIN,52804.0,1636.0,1645.0,0.0,208.0,6.0,53.0,52342.51699999999,42260.87599999999,0.0,0.9945288753799392
DWARF,115.0,1.0,1.0,0.0,0.0,0.0,0.0,14.25,61.0,0.0,1.0
MAGE,16424.0,156.0,199.0,0.0,6.0,15.0,95.0,14314.192,12306.780999999999,0.0,0.7839195979899497
ENGINEER,1824.0,39.0,29.0,0.0,1.0,2.0,105.0,2296.044,2269.762,0.0,1.3448275862068966
FASHIONISTA,40.0,1.0,1.0,0.0,0.0,0.0,0.0,20.599,64.22,0.0,1.0
