kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,115742.0,2303.0,719.0,3.0,635.0,4.0,63.0,112863.08600000004,104733.90200000005,0.0,3.2030598052851182
NINJA,228659.0,4213.0,9891.0,4.0,556.0,28.0,187.0,526466.5119999999,267074.327,0.0,0.4259427762612476
MEDIC,45945.0,563.0,587.0,7.0,32.0,49.0,1381.0,27226.189999999995,59629.416,32550.0,0.959114139693356
HEAVY,88759.0,1815.0,919.0,11.0,73.0,69.0,1296.0,169139.207,151703.56499999997,0.0,1.9749727965179542
CHEMIST,586497.0,16074.0,12711.0,121.0,106.0,1716.0,22133.0,843879.4179999991,1.1670748260000001e6,0.0,1.2645739910313902
ARCHER,174963.0,5624.0,2755.0,3.0,14.0,5.0,151.0,149355.52599999998,182333.86900000006,0.0,2.0413793103448277
ENGINEER,2038.0,14.0,23.0,0.0,1.0,0.0,61.0,1137.9940000000001,1456.272,0.0,0.6086956521739131
SOLDIER,108842.0,1904.0,1821.0,26.0,68.0,379.0,5552.0,122660.59600000008,177066.37899999996,0.0,1.0455793520043932
ASSASSIN,21939.0,573.0,769.0,1.0,78.0,3.0,95.0,23801.554000000007,19672.206,0.0,0.7451235370611183
NECRO,7988.0,179.0,70.0,2.0,2.0,3.0,271.0,6923.683,9945.219,0.0,2.557142857142857
ELF,2949.0,38.0,45.0,1.0,0.0,6.0,70.0,1727.886,3547.9519999999998,0.0,0.8444444444444444
SCOUT,5105.0,59.0,113.0,1.0,11.0,3.0,68.0,5345.822999999999,5267.318999999999,0.0,0.5221238938053098
MAGE,1809.0,12.0,16.0,0.0,0.0,0.0,0.0,818.681,989.549,0.0,0.75
DWARF,490.0,2.0,2.0,0.0,0.0,0.0,0.0,245.91500000000002,253.87,0.0,1.0
FASHIONISTA,988.0,7.0,22.0,0.0,1.0,8.0,69.0,669.3119999999999,1368.957,0.0,0.3181818181818182
