kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,338171.0,7045.0,14965.0,13.0,1265.0,114.0,679.0,951330.137,474634.5010000004,0.0,0.4707651186100902
SOLDIER,43235.0,471.0,579.0,16.0,46.0,171.0,4804.0,40103.776000000005,55506.75299999998,0.0,0.8134715025906736
NECRO,10822.0,265.0,116.0,4.0,5.0,7.0,943.0,11977.156,17104.253000000004,0.0,2.2844827586206895
HEAVY,69791.0,1182.0,453.0,3.0,114.0,35.0,906.0,138338.73900000003,97298.161,0.0,2.609271523178808
SCOUT,98165.0,1210.0,2460.0,0.0,170.0,155.0,705.0,102282.41500000008,106494.70499999997,0.0,0.491869918699187
MEDIC,19990.0,196.0,177.0,2.0,36.0,30.0,475.0,13660.238,20553.719999999998,14666.0,1.1073446327683616
ARCHER,37092.0,1312.0,462.0,2.0,2.0,1.0,81.0,34739.15000000001,31416.943999999996,0.0,2.83982683982684
CHEMIST,61031.0,1040.0,876.0,26.0,55.0,225.0,6121.0,68104.26000000001,92432.31900000003,0.0,1.187214611872146
ASSASSIN,43642.0,821.0,992.0,4.0,132.0,8.0,139.0,23207.583000000006,23913.780000000006,0.0,0.8276209677419355
ELF,18892.0,273.0,324.0,15.0,4.0,114.0,1741.0,11964.116000000002,26966.843000000004,0.0,0.8425925925925926
PYRO,28645.0,571.0,271.0,2.0,143.0,5.0,38.0,24666.074,26093.341,0.0,2.107011070110701
MAGE,780.0,5.0,9.0,0.0,3.0,2.0,140.0,827.1039999999999,919.338,0.0,0.5555555555555556
ENGINEER,9936.0,164.0,97.0,1.0,14.0,12.0,1211.0,10201.166000000001,10402.984,0.0,1.690721649484536
DWARF,181.0,1.0,0.0,0.0,0.0,0.0,0.0,12.75,42.599,0.0,Inf
FASHIONISTA,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
