kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,130260.0,2632.0,3462.0,10.0,451.0,122.0,1451.0,69921.26799999998,79446.29699999999,0.0,0.7602541883304448
HEAVY,188438.0,1230.0,925.0,44.0,104.0,320.0,11680.0,90376.08900000004,101472.73800000008,0.0,1.3297297297297297
NINJA,184321.0,2351.0,5426.0,57.0,415.0,441.0,4152.0,230879.04899999994,146786.651,0.0,0.4332841872465905
ARCHER,94393.0,2001.0,1195.0,10.0,17.0,82.0,1566.0,59322.59100000002,70130.72799999999,0.0,1.6744769874476988
MEDIC,120214.0,1377.0,1664.0,33.0,41.0,292.0,6306.0,59071.59499999998,147610.61500000002,45425.0,0.8275240384615384
SOLDIER,260297.0,2222.0,3722.0,194.0,152.0,1671.0,43190.0,130780.43400000004,294740.637,0.0,0.5969908651262762
PYRO,121353.0,2637.0,1379.0,5.0,478.0,53.0,581.0,106955.12899999999,99983.90299999998,0.0,1.9122552574329224
ENGINEER,10082.0,121.0,118.0,2.0,5.0,16.0,331.0,8827.829,8387.049,0.0,1.0254237288135593
DWARF,9897.0,83.0,54.0,11.0,10.0,14.0,1859.0,3408.049,4251.131,0.0,1.537037037037037
CHEMIST,181737.0,2629.0,3107.0,106.0,86.0,1036.0,19280.0,145827.202,251900.77900000007,0.0,0.8461538461538461
NECRO,29080.0,687.0,290.0,10.0,20.0,54.0,1548.0,29801.234999999993,39894.79799999999,1.0,2.3689655172413793
FASHIONISTA,7869.0,19.0,26.0,4.0,4.0,8.0,404.0,787.889,2099.099,0.0,0.7307692307692307
ELF,43586.0,303.0,614.0,33.0,11.0,248.0,4138.0,15456.772000000004,36668.99400000001,0.0,0.49348534201954397
MAGE,46296.0,413.0,501.0,9.0,37.0,95.0,2454.0,31466.010000000006,29742.988999999994,0.0,0.8243512974051896
SCOUT,11088.0,104.0,264.0,1.0,17.0,32.0,154.0,7928.838,10716.794999999996,0.0,0.3939393939393939
