kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,75346.0,518.0,293.0,18.0,6.0,102.0,7379.0,37658.35799999999,49123.90000000001,0.0,1.7679180887372015
NINJA,169118.0,3778.0,7372.0,5.0,367.0,46.0,535.0,379088.509,188599.75900000008,0.0,0.5124796527400977
SOLDIER,293408.0,3121.0,3140.0,303.0,86.0,1480.0,80065.0,165223.11699999997,353047.2129999997,0.0,0.9939490445859872
CHEMIST,59295.0,1188.0,946.0,21.0,13.0,151.0,4637.0,56414.86999999996,87580.17999999998,0.0,1.255813953488372
ASSASSIN,49271.0,1496.0,1649.0,2.0,182.0,6.0,175.0,52011.854999999996,40809.833999999995,0.0,0.9072164948453608
MEDIC,127037.0,2468.0,1730.0,23.0,20.0,182.0,3391.0,82027.27699999999,225096.59699999998,92729.0,1.4265895953757226
ARCHER,18963.0,461.0,130.0,0.0,1.0,0.0,77.0,12945.931000000002,8929.238,0.0,3.546153846153846
PYRO,13120.0,199.0,91.0,0.0,35.0,0.0,3.0,9538.658,8306.66,0.0,2.1868131868131866
ELF,30220.0,373.0,437.0,2.0,3.0,99.0,1647.0,18332.188000000006,36958.19699999999,0.0,0.8535469107551488
MAGE,8518.0,74.0,85.0,1.0,6.0,2.0,89.0,6184.853000000001,5324.635,0.0,0.8705882352941177
NECRO,590.0,6.0,4.0,0.0,0.0,0.0,0.0,199.539,370.621,2.0,1.5
ENGINEER,5098.0,106.0,38.0,0.0,15.0,2.0,7.0,9087.385999999999,5615.682,0.0,2.789473684210526
SCOUT,2322.0,17.0,39.0,0.0,1.0,4.0,27.0,1250.864,1561.4409999999998,0.0,0.4358974358974359
FASHIONISTA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
