kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,42190.0,533.0,260.0,2.0,33.0,29.0,630.0,38453.71399999999,37435.913,0.0,2.05
NINJA,131570.0,2136.0,3866.0,5.0,378.0,13.0,169.0,202695.95300000015,107834.88000000003,0.0,0.5525090532850492
SOLDIER,152881.0,1972.0,2251.0,59.0,85.0,613.0,14260.0,104089.62199999999,213821.57200000001,0.0,0.8760550866281652
PYRO,11069.0,126.0,101.0,0.0,42.0,2.0,18.0,7408.2,7701.336999999999,0.0,1.2475247524752475
MEDIC,128737.0,1127.0,1013.0,2.0,123.0,15.0,621.0,54768.74899999996,124632.48899999996,151317.0,1.1125370187561698
CHEMIST,5404.0,6.0,43.0,0.0,0.0,3.0,42.0,751.162,1313.945,0.0,0.13953488372093023
ARCHER,21723.0,459.0,220.0,1.0,4.0,1.0,89.0,12566.190000000002,14986.635999999999,0.0,2.0863636363636364
ASSASSIN,579847.0,15145.0,14182.0,7.0,2485.0,47.0,261.0,362919.63299999986,358085.5419999996,0.0,1.0679029756028768
ELF,13066.0,128.0,44.0,4.0,2.0,6.0,892.0,4316.991999999999,8820.028999999999,0.0,2.909090909090909
ENGINEER,769.0,9.0,3.0,1.0,0.0,0.0,4.0,408.89,300.593,0.0,3.0
MAGE,8932.0,49.0,74.0,0.0,4.0,2.0,45.0,4434.143999999999,5197.068,0.0,0.6621621621621622
SCOUT,46540.0,375.0,728.0,0.0,84.0,15.0,99.0,22932.961000000003,32586.044000000024,0.0,0.5151098901098901
DWARF,793.0,2.0,2.0,0.0,0.0,0.0,0.0,220.80599999999998,276.209,0.0,1.0
NECRO,24047.0,320.0,224.0,3.0,24.0,6.0,467.0,17114.502,26945.588,0.0,1.4285714285714286
