kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,67024.0,1543.0,405.0,8.0,106.0,37.0,3872.0,133519.37500000006,86940.58299999996,0.0,3.8098765432098767
MEDIC,54674.0,891.0,515.0,3.0,22.0,51.0,791.0,44218.62599999999,65426.447000000015,41294.0,1.7300970873786408
ENGINEER,6816.0,156.0,37.0,0.0,5.0,0.0,4.0,10272.972,5890.99,0.0,4.216216216216216
NINJA,135972.0,3267.0,5215.0,9.0,312.0,99.0,916.0,329458.9230000003,141313.326,0.0,0.6264621284755513
NECRO,20656.0,632.0,225.0,7.0,7.0,36.0,1781.0,31278.303000000004,35767.893000000004,4.0,2.8088888888888888
SOLDIER,32395.0,571.0,253.0,9.0,65.0,70.0,1364.0,51183.11299999999,34802.382000000005,0.0,2.2569169960474307
CHEMIST,122828.0,3118.0,1827.0,39.0,49.0,431.0,8929.0,159335.74300000007,191587.9810000001,0.0,1.7066228790366722
PYRO,123537.0,3234.0,650.0,7.0,741.0,4.0,400.0,128287.48099999999,85973.915,0.0,4.975384615384615
ELF,15083.0,208.0,205.0,5.0,3.0,75.0,1279.0,7669.994999999999,18840.002000000004,0.0,1.0146341463414634
ASSASSIN,2385.0,80.0,48.0,0.0,4.0,0.0,0.0,2258.3759999999997,1268.166,0.0,1.6666666666666667
MAGE,4464.0,79.0,61.0,0.0,4.0,4.0,61.0,5561.427999999999,3907.8749999999995,0.0,1.2950819672131149
ARCHER,5744.0,178.0,62.0,0.0,0.0,1.0,10.0,5186.093999999999,4368.759,0.0,2.870967741935484
SCOUT,2201.0,36.0,31.0,0.0,1.0,2.0,8.0,2760.386,1490.691,0.0,1.1612903225806452
