kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,56128.0,1039.0,649.0,2.0,60.0,19.0,467.0,58971.655999999995,70406.896,54662.0,1.600924499229584
HEAVY,37950.0,1041.0,473.0,3.0,31.0,51.0,605.0,77248.27699999999,57265.34400000003,0.0,2.200845665961945
SOLDIER,109390.0,2243.0,1351.0,24.0,113.0,311.0,6892.0,156701.55900000004,136795.30499999996,0.0,1.6602516654330126
NECRO,95279.0,3232.0,1125.0,7.0,38.0,65.0,1806.0,159733.44999999995,139603.53799999997,0.0,2.872888888888889
ARCHER,6964.0,201.0,67.0,0.0,0.0,0.0,0.0,5572.91,4584.553,0.0,3.0
ASSASSIN,1057.0,14.0,25.0,0.0,2.0,1.0,1.0,463.68100000000004,582.848,0.0,0.56
CHEMIST,16238.0,413.0,227.0,2.0,13.0,39.0,596.0,26458.843000000004,24511.984,0.0,1.8193832599118942
NINJA,48746.0,1130.0,1794.0,4.0,146.0,29.0,251.0,118987.44499999999,50845.630000000005,0.0,0.6298773690078038
ELF,48258.0,799.0,700.0,14.0,6.0,245.0,4897.0,39257.127,63764.348999999995,0.0,1.1414285714285715
PYRO,34682.0,730.0,197.0,0.0,170.0,2.0,3.0,34944.397000000004,25220.246,0.0,3.7055837563451774
MAGE,675.0,5.0,6.0,0.0,1.0,0.0,0.0,676.9580000000001,232.822,0.0,0.8333333333333334
SCOUT,15256.0,284.0,272.0,0.0,52.0,10.0,47.0,21275.174,12557.512999999999,0.0,1.0441176470588236
ENGINEER,77.0,1.0,1.0,0.0,0.0,0.0,0.0,30.8,87.876,0.0,1.0
