kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,226531.0,2900.0,3971.0,105.0,133.0,1688.0,29072.0,190433.41100000005,352643.05699999986,0.0,0.7302946361118107
HEAVY,114641.0,2478.0,1626.0,29.0,66.0,461.0,7027.0,181245.89999999985,209587.7179999999,0.0,1.5239852398523985
CHEMIST,164854.0,3822.0,3237.0,66.0,73.0,846.0,13660.0,212588.34399999984,302882.0379999998,0.0,1.180722891566265
MEDIC,124913.0,2392.0,1967.0,18.0,19.0,288.0,3486.0,94613.15299999995,211113.79899999994,57365.0,1.2160650737163192
PYRO,198192.0,3903.0,1796.0,2.0,720.0,8.0,108.0,176142.31200000003,183944.15599999993,0.0,2.173162583518931
NINJA,151363.0,2382.0,4995.0,20.0,194.0,427.0,2356.0,261085.79799999998,158335.8480000001,0.0,0.47687687687687685
ASSASSIN,10629.0,325.0,323.0,0.0,29.0,3.0,24.0,8566.735,7634.994,0.0,1.0061919504643964
ELF,159399.0,2095.0,2976.0,89.0,15.0,1127.0,15116.0,90265.97799999999,256350.33500000014,0.0,0.7039650537634409
MAGE,12492.0,144.0,160.0,0.0,3.0,21.0,811.0,11182.588,8676.742999999999,0.0,0.9
ENGINEER,2080.0,23.0,31.0,0.0,1.0,12.0,119.0,1269.11,2201.5660000000003,0.0,0.7419354838709677
ARCHER,63209.0,1928.0,778.0,1.0,4.0,9.0,111.0,52632.15700000002,51478.04999999999,0.0,2.4781491002570695
NECRO,7517.0,232.0,105.0,2.0,0.0,8.0,472.0,10771.927999999998,13175.580000000004,0.0,2.2095238095238097
SCOUT,33535.0,314.0,742.0,0.0,32.0,57.0,306.0,24960.300000000007,30345.599,0.0,0.42318059299191374
