kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,42008.0,468.0,325.0,9.0,27.0,60.0,1360.0,42189.38699999999,43130.783,0.0,1.44
NINJA,287467.0,4102.0,10946.0,32.0,1204.0,276.0,2128.0,568612.2520000002,305636.8320000001,0.0,0.3747487666727572
ASSASSIN,65768.0,1619.0,2019.0,1.0,303.0,13.0,158.0,46847.44300000001,48329.577,0.0,0.8018821198613175
CHEMIST,76955.0,1605.0,1417.0,40.0,8.0,443.0,10995.0,87566.62800000003,154641.825,0.0,1.1326746647847565
SOLDIER,56593.0,562.0,827.0,50.0,18.0,372.0,10933.0,31208.40400000001,73927.906,0.0,0.6795646916565901
MEDIC,15238.0,201.0,191.0,7.0,10.0,18.0,637.0,7897.675,18262.279000000002,9811.0,1.0523560209424083
ARCHER,82706.0,2076.0,1110.0,1.0,6.0,6.0,354.0,53047.74100000001,70032.21100000001,0.0,1.8702702702702703
NECRO,22563.0,443.0,229.0,3.0,24.0,23.0,298.0,33838.393000000004,32065.011000000002,0.0,1.9344978165938864
ELF,33845.0,281.0,551.0,23.0,2.0,239.0,5178.0,13121.442999999996,45604.614000000016,0.0,0.5099818511796733
PYRO,10250.0,164.0,100.0,0.0,41.0,0.0,0.0,8345.637999999999,8175.23,0.0,1.64
MAGE,12974.0,102.0,209.0,0.0,3.0,12.0,45.0,12244.840999999999,11390.561,0.0,0.4880382775119617
ENGINEER,787.0,5.0,10.0,0.0,0.0,0.0,0.0,510.799,666.3820000000001,0.0,0.5
SCOUT,49505.0,359.0,998.0,0.0,29.0,28.0,148.0,25879.745,33793.287999999986,0.0,0.35971943887775554
DWARF,305.0,3.0,0.0,0.0,0.0,0.0,0.0,167.10199999999998,105.35,0.0,Inf
FASHIONISTA,21.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,40.22,0.0,0.0
