kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,37999.0,218.0,582.0,8.0,70.0,30.0,834.0,27206.558999999997,17247.141,0.0,0.3745704467353952
PYRO,3763.0,39.0,48.0,0.0,8.0,4.0,10.0,1687.161,3278.901,0.0,0.8125
MEDIC,8625.0,37.0,78.0,1.0,5.0,17.0,235.0,3598.684,7333.743000000001,2995.0,0.47435897435897434
ENGINEER,3613.0,4.0,17.0,0.0,0.0,1.0,68.0,466.58000000000004,711.7159999999999,0.0,0.23529411764705882
SOLDIER,4218.0,19.0,31.0,1.0,5.0,8.0,187.0,2091.948,2912.5110000000004,0.0,0.6129032258064516
HEAVY,7065.0,22.0,38.0,2.0,0.0,18.0,204.0,2056.64,3660.782,0.0,0.5789473684210527
ARCHER,838.0,8.0,7.0,0.0,0.0,0.0,0.0,519.08,557.138,0.0,1.1428571428571428
NECRO,237.0,1.0,0.0,2.0,0.0,1.0,99.0,19.562,22.25,3.0,Inf
MAGE,2909.0,1.0,2.0,0.0,0.0,0.0,0.0,180.599,161.074,0.0,0.5
ELF,729.0,3.0,3.0,0.0,1.0,3.0,313.0,118.629,102.702,0.0,1.0
CHEMIST,4423.0,29.0,69.0,0.0,0.0,15.0,183.0,2266.1479999999997,4208.871,0.0,0.42028985507246375
ASSASSIN,109.0,4.0,5.0,0.0,1.0,0.0,0.0,107.73,114.985,0.0,0.8
