kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,17023.0,9.0,3.0,0.0,1.0,0.0,142.0,556.754,670.7850000000001,0.0,3.0
ARCHER,64096.0,1272.0,541.0,2.0,11.0,5.0,264.0,35269.03799999998,29021.496000000003,0.0,2.3512014787430684
PYRO,1210.0,7.0,12.0,0.0,1.0,0.0,0.0,471.869,645.595,0.0,0.5833333333333334
CHEMIST,2440.0,11.0,14.0,0.0,0.0,0.0,0.0,522.573,704.322,0.0,0.7857142857142857
NINJA,37161.0,313.0,775.0,15.0,51.0,97.0,988.0,27353.492,21931.665,0.0,0.4038709677419355
ASSASSIN,3384.0,23.0,34.0,1.0,5.0,1.0,36.0,535.825,687.9490000000001,0.0,0.6764705882352942
ELF,389898.0,3851.0,6002.0,271.0,69.0,2298.0,43004.0,178211.9189999999,452021.0749999997,0.0,0.64161946017994
MEDIC,12393.0,129.0,149.0,1.0,3.0,26.0,267.0,5641.0689999999995,12105.303,3797.0,0.8657718120805369
FASHIONISTA,1516.0,2.0,6.0,1.0,0.0,4.0,473.0,62.671,269.538,0.0,0.3333333333333333
MAGE,1456.0,8.0,10.0,1.0,0.0,2.0,42.0,901.2139999999999,982.553,0.0,0.8
ENGINEER,3645.0,3.0,2.0,0.0,0.0,1.0,2.0,199.68900000000002,164.832,0.0,1.5
SOLDIER,3742.0,8.0,30.0,1.0,0.0,10.0,137.0,779.3870000000001,1557.7479999999998,0.0,0.26666666666666666
NECRO,5298.0,78.0,48.0,0.0,0.0,7.0,120.0,3507.1680000000006,4613.554,0.0,1.625
SCOUT,94030.0,555.0,1386.0,10.0,26.0,372.0,1937.0,27588.529,51804.10299999999,0.0,0.4004329004329004
DWARF,435.0,9.0,4.0,0.0,0.0,0.0,0.0,535.261,540.351,0.0,2.25
