kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,228535.0,1547.0,3543.0,79.0,67.0,1122.0,27868.0,88969.11700000001,278423.8260000002,0.0,0.4366356195314705
MEDIC,468681.0,4273.0,7084.0,41.0,148.0,401.0,11968.0,179644.26899999985,630909.6750000004,213448.0,0.6031902879728966
NINJA,62630.0,233.0,1053.0,4.0,95.0,35.0,1629.0,24560.35,27299.404000000002,0.0,0.22127255460588793
HEAVY,66954.0,334.0,265.0,10.0,15.0,45.0,2151.0,29695.05900000001,39505.944,0.0,1.260377358490566
CHEMIST,16466.0,46.0,98.0,0.0,3.0,4.0,50.0,2825.217,3820.7410000000004,0.0,0.46938775510204084
NECRO,3175.0,42.0,29.0,1.0,1.0,4.0,71.0,1865.041,3068.107,0.0,1.4482758620689655
ARCHER,937.0,7.0,9.0,0.0,0.0,0.0,0.0,166.039,292.047,0.0,0.7777777777777778
PYRO,2056.0,29.0,25.0,0.0,9.0,0.0,0.0,1498.262,1528.8159999999998,0.0,1.16
MAGE,884.0,4.0,11.0,0.0,0.0,0.0,0.0,294.7,422.715,0.0,0.36363636363636365
ENGINEER,495.0,2.0,6.0,0.0,0.0,0.0,0.0,358.9,325.212,0.0,0.3333333333333333
DWARF,752.0,1.0,7.0,1.0,0.0,0.0,0.0,246.165,558.287,0.0,0.14285714285714285
ASSASSIN,21829.0,324.0,516.0,0.0,78.0,5.0,26.0,9559.083000000002,12408.321,0.0,0.627906976744186
SCOUT,4656.0,68.0,82.0,2.0,12.0,8.0,140.0,2662.4060000000004,3341.9629999999997,0.0,0.8292682926829268
ELF,75.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,37.982,0.0,NaN
FASHIONISTA,80.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0,126.17,0.0,0.0
