kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,120555.0,2428.0,3772.0,1.0,484.0,4.0,61.0,264914.9000000001,111983.25300000001,0.0,0.6436903499469777
HEAVY,54282.0,683.0,199.0,3.0,60.0,29.0,605.0,70204.164,44378.013000000006,0.0,3.4321608040201004
PYRO,55055.0,1342.0,401.0,1.0,254.0,4.0,36.0,56087.776999999995,40640.782,0.0,3.346633416458853
ELF,9641.0,97.0,43.0,0.0,6.0,1.0,3.0,5627.9349999999995,4886.347000000001,0.0,2.255813953488372
CHEMIST,67748.0,1626.0,624.0,5.0,151.0,65.0,1254.0,128768.06900000003,94714.703,0.0,2.605769230769231
SOLDIER,57365.0,1134.0,488.0,10.0,167.0,70.0,2883.0,103273.93499999992,66225.281,0.0,2.3237704918032787
MEDIC,4832.0,75.0,44.0,0.0,3.0,2.0,34.0,4557.15,6018.847000000001,2542.0,1.7045454545454546
ASSASSIN,2269.0,63.0,62.0,0.0,19.0,0.0,0.0,1933.337,1410.489,0.0,1.0161290322580645
MAGE,5070.0,66.0,33.0,0.0,3.0,2.0,2.0,6125.749000000001,2789.0899999999997,0.0,2.0
NECRO,2314.0,80.0,40.0,1.0,1.0,3.0,79.0,4278.711,4774.955999999999,0.0,2.0
ARCHER,4030.0,93.0,29.0,0.0,1.0,1.0,15.0,3156.966,2143.015,0.0,3.206896551724138
DWARF,301.0,7.0,1.0,0.0,1.0,0.0,9.0,183.5,272.096,0.0,7.0
ENGINEER,1897.0,34.0,12.0,0.0,2.0,0.0,0.0,3028.105,1710.315,0.0,2.8333333333333335
SCOUT,1873.0,22.0,40.0,0.0,6.0,1.0,0.0,2130.084,1838.364,0.0,0.55
FASHIONISTA,20.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,48.14,0.0,0.0
