kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,47555.0,434.0,584.0,4.0,31.0,30.0,308.0,26261.701000000005,52434.06200000001,30751.0,0.7431506849315068
PYRO,6685.0,68.0,53.0,0.0,20.0,0.0,0.0,3876.496,4840.268,0.0,1.2830188679245282
HEAVY,32877.0,557.0,396.0,7.0,24.0,46.0,2158.0,46099.07100000002,55730.126000000004,0.0,1.4065656565656566
SOLDIER,181712.0,2063.0,3407.0,61.0,35.0,900.0,16836.0,134368.85999999996,279306.78300000005,0.0,0.6055180510713237
ASSASSIN,5113.0,79.0,109.0,0.0,16.0,0.0,0.0,3108.038,2824.989,0.0,0.7247706422018348
ENGINEER,101017.0,1333.0,1083.0,0.0,141.0,41.0,271.0,97331.80699999997,101292.462,0.0,1.2308402585410896
MAGE,326.0,1.0,2.0,0.0,0.0,1.0,10.0,124.799,168.938,0.0,0.5
NINJA,35273.0,345.0,885.0,0.0,57.0,8.0,94.0,40231.588,27038.712999999996,0.0,0.3898305084745763
CHEMIST,51121.0,814.0,1081.0,14.0,15.0,206.0,2707.0,49377.272999999994,88677.73600000002,0.0,0.7530064754856615
ARCHER,2102.0,20.0,19.0,0.0,0.0,0.0,0.0,723.011,1275.896,0.0,1.0526315789473684
ELF,275.0,2.0,7.0,0.0,0.0,2.0,4.0,115.149,340.339,0.0,0.2857142857142857
SCOUT,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,NaN
FASHIONISTA,115.0,0.0,3.0,0.0,0.0,0.0,0.0,193.5,250.15,0.0,0.0
DWARF,65.0,0.0,1.0,0.0,0.0,0.0,0.0,37.442,25.04,0.0,0.0
NECRO,6861.0,122.0,79.0,0.0,2.0,9.0,94.0,6561.811000000001,9970.350999999999,0.0,1.5443037974683544
