kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,266292.0,4559.0,1781.0,5.0,860.0,3.0,128.0,212604.94700000007,202844.3819999998,0.0,2.5597978663672096
HEAVY,40454.0,271.0,108.0,1.0,45.0,2.0,110.0,37832.518000000004,23987.628,0.0,2.509259259259259
CHEMIST,7499.0,76.0,75.0,0.0,10.0,0.0,0.0,5788.035,5451.166000000001,0.0,1.0133333333333334
ASSASSIN,25332.0,426.0,507.0,1.0,66.0,2.0,135.0,11016.033000000001,12007.703,0.0,0.8402366863905325
SOLDIER,44464.0,433.0,270.0,4.0,101.0,6.0,702.0,52377.704,39258.869999999995,0.0,1.6037037037037036
MEDIC,26683.0,190.0,138.0,0.0,18.0,3.0,16.0,12375.537999999995,19082.122000000003,14244.0,1.3768115942028984
NINJA,8652.0,139.0,240.0,0.0,12.0,0.0,0.0,13242.979,7345.222,0.0,0.5791666666666667
NECRO,1006.0,13.0,3.0,0.0,0.0,0.0,0.0,961.626,651.732,45.0,4.333333333333333
ARCHER,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,83.0,0.0,1.0,0.0,0.0,0.0,0.0,22.5,10.099,0.0,0.0
MAGE,121.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,20.0,0.0,0.0
DWARF,1126.0,11.0,1.0,0.0,2.0,0.0,0.0,568.95,375.64,0.0,11.0
FASHIONISTA,1074.0,3.0,0.0,1.0,0.0,1.0,41.0,84.6,37.75,0.0,Inf
ELF,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
