kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,17496.0,180.0,197.0,5.0,0.0,36.0,672.0,8426.438,17366.03,0.0,0.9137055837563451
ELF,738615.0,5008.0,16431.0,172.0,35.0,3599.0,43866.0,240345.84199999995,1.0445071820000004e6,0.0,0.3047897267360477
MEDIC,51559.0,389.0,943.0,8.0,9.0,102.0,1686.0,15854.166000000003,70685.74299999999,26840.0,0.41251325556733826
ENGINEER,126309.0,1490.0,2331.0,20.0,21.0,424.0,3216.0,81271.89799999996,143235.63100000008,0.0,0.6392106392106393
SCOUT,163299.0,536.0,3096.0,17.0,151.0,154.0,1597.0,34769.675999999985,100414.67700000007,0.0,0.1731266149870801
CHEMIST,3635.0,4.0,13.0,0.0,2.0,0.0,0.0,57.519000000000005,124.86,0.0,0.3076923076923077
NECRO,241091.0,2652.0,4695.0,30.0,26.0,870.0,9770.0,116869.09900000012,359753.08199999935,51.0,0.5648562300319488
SOLDIER,88643.0,643.0,1822.0,23.0,5.0,527.0,7172.0,33606.227000000006,130431.78799999988,0.0,0.35290889132821074
NINJA,1117.0,3.0,26.0,0.0,0.0,4.0,24.0,415.497,681.25,0.0,0.11538461538461539
PYRO,60293.0,459.0,740.0,0.0,199.0,4.0,45.0,28841.42,55553.86400000001,0.0,0.6202702702702703
ASSASSIN,2979.0,30.0,82.0,0.0,12.0,4.0,30.0,1056.563,1869.2759999999998,0.0,0.36585365853658536
ARCHER,3341.0,46.0,67.0,0.0,0.0,2.0,18.0,1423.036,3458.513,0.0,0.6865671641791045
DWARF,363.0,4.0,4.0,0.0,0.0,0.0,0.0,9.9,259.51,0.0,1.0
FASHIONISTA,1567.0,3.0,36.0,1.0,1.0,8.0,171.0,451.627,1658.0040000000001,0.0,0.08333333333333333
MAGE,400.0,3.0,11.0,0.0,0.0,0.0,0.0,287.0,343.941,0.0,0.2727272727272727
