kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,303604.0,3755.0,3133.0,4.0,867.0,25.0,761.0,171015.526,204660.93600000002,0.0,1.1985317586977338
HEAVY,130737.0,1791.0,1242.0,12.0,117.0,100.0,2772.0,178143.00799999986,164736.61200000002,0.0,1.4420289855072463
SOLDIER,152984.0,1655.0,1583.0,9.0,279.0,91.0,2940.0,190855.94999999998,165220.60600000012,0.0,1.045483259633607
MAGE,243943.0,1613.0,2575.0,0.0,108.0,22.0,921.0,163238.95000000004,158671.3159999999,0.0,0.6264077669902912
NINJA,27176.0,358.0,751.0,0.0,56.0,4.0,379.0,30830.638000000017,19256.52,0.0,0.4766977363515313
ELF,25297.0,153.0,270.0,3.0,23.0,18.0,475.0,14710.113000000003,15917.344999999998,0.0,0.5666666666666667
DWARF,6359.0,60.0,26.0,0.0,3.0,8.0,588.0,3515.165,2330.712,0.0,2.3076923076923075
MEDIC,83026.0,783.0,890.0,1.0,67.0,31.0,942.0,43465.32099999999,83491.66599999998,57636.0,0.8797752808988764
CHEMIST,7050.0,50.0,67.0,2.0,5.0,7.0,171.0,3803.2539999999995,4198.053,0.0,0.746268656716418
ARCHER,5874.0,121.0,78.0,0.0,1.0,2.0,14.0,2973.3309999999997,3994.0319999999997,0.0,1.5512820512820513
ASSASSIN,101423.0,1928.0,2531.0,0.0,216.0,10.0,58.0,53463.618000000024,61758.59099999998,0.0,0.76175424733307
NECRO,56798.0,908.0,592.0,2.0,28.0,13.0,719.0,62550.537,72163.968,1618.0,1.5337837837837838
ENGINEER,1804.0,12.0,22.0,0.0,0.0,1.0,1.0,1242.225,1187.421,0.0,0.5454545454545454
SCOUT,38477.0,367.0,800.0,0.0,41.0,6.0,12.0,34285.567,31991.846000000005,0.0,0.45875
FASHIONISTA,159.0,3.0,3.0,0.0,0.0,0.0,0.0,116.319,226.612,0.0,1.0
