kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,59637.0,471.0,299.0,16.0,32.0,96.0,3811.0,46714.46599999999,44250.537000000004,0.0,1.5752508361204014
ASSASSIN,19174.0,352.0,412.0,1.0,62.0,6.0,553.0,9524.053999999998,9801.860999999999,0.0,0.8543689320388349
NINJA,45780.0,508.0,1043.0,8.0,94.0,47.0,2145.0,44097.701,28060.221999999994,0.0,0.48705656759348037
SOLDIER,466900.0,5302.0,5534.0,357.0,445.0,1992.0,72734.0,347498.3340000001,488487.35700000037,0.0,0.9580773400795085
ARCHER,3962.0,77.0,60.0,1.0,0.0,6.0,461.0,2257.213,1869.26,0.0,1.2833333333333334
PYRO,42014.0,887.0,360.0,0.0,213.0,1.0,44.0,29595.153,28764.909,0.0,2.463888888888889
CHEMIST,121037.0,1871.0,1865.0,47.0,75.0,327.0,8855.0,110780.63000000003,144990.1919999999,0.0,1.0032171581769438
MEDIC,64279.0,687.0,655.0,19.0,28.0,88.0,3099.0,33763.864,69284.30900000001,22473.0,1.048854961832061
MAGE,29724.0,121.0,194.0,8.0,12.0,63.0,7304.0,11609.000000000004,14396.657000000001,0.0,0.6237113402061856
ELF,4058.0,12.0,43.0,1.0,3.0,10.0,677.0,1127.66,2407.617,0.0,0.27906976744186046
FASHIONISTA,321.0,4.0,2.0,0.0,0.0,0.0,0.0,375.842,370.437,0.0,2.0
DWARF,1874.0,6.0,14.0,1.0,2.0,3.0,602.0,774.796,804.307,0.0,0.42857142857142855
ENGINEER,2606.0,18.0,13.0,1.0,1.0,5.0,313.0,1145.673,900.745,0.0,1.3846153846153846
NECRO,1480.0,14.0,21.0,1.0,0.0,4.0,353.0,1801.5700000000002,2615.5860000000002,170.0,0.6666666666666666
SCOUT,347.0,0.0,5.0,0.0,0.0,0.0,0.0,134.528,160.78199999999998,0.0,0.0
