kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,40912.0,766.0,335.0,4.0,10.0,47.0,1341.0,48718.54299999999,43645.925,0.0,2.2865671641791043
NINJA,87800.0,1794.0,2873.0,3.0,187.0,17.0,170.0,165182.04699999993,79793.38700000002,0.0,0.6244343891402715
PYRO,38257.0,755.0,181.0,0.0,127.0,1.0,32.0,21131.097999999998,18511.23,0.0,4.171270718232044
CHEMIST,137115.0,3269.0,2086.0,27.0,62.0,306.0,5801.0,186058.52600000004,221924.13900000017,0.0,1.5671140939597314
SOLDIER,80778.0,1193.0,1128.0,28.0,44.0,398.0,11559.0,61416.45199999999,101080.63300000003,0.0,1.0576241134751774
MEDIC,9815.0,148.0,107.0,1.0,1.0,6.0,115.0,4890.642,11441.123999999998,3113.0,1.3831775700934579
ARCHER,30534.0,888.0,292.0,0.0,5.0,4.0,8.0,25137.019000000004,14696.255,0.0,3.041095890410959
ENGINEER,2769.0,31.0,7.0,1.0,0.0,3.0,167.0,1663.606,850.597,0.0,4.428571428571429
ASSASSIN,28026.0,707.0,553.0,1.0,111.0,4.0,78.0,19317.593,14196.745000000003,0.0,1.2784810126582278
FASHIONISTA,70.0,1.0,1.0,0.0,0.0,0.0,0.0,64.889,61.389,0.0,1.0
SCOUT,1189.0,14.0,34.0,0.0,0.0,0.0,0.0,1495.69,1408.03,0.0,0.4117647058823529
ELF,954.0,12.0,9.0,0.0,0.0,0.0,0.0,514.433,592.9649999999999,0.0,1.3333333333333333
NECRO,3026.0,95.0,38.0,0.0,1.0,2.0,8.0,4702.919,5169.5380000000005,0.0,2.5
