kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,20871.0,461.0,214.0,6.0,8.0,50.0,1434.0,27453.706000000002,31052.019999999993,0.0,2.1542056074766354
NINJA,77346.0,1329.0,2024.0,13.0,81.0,63.0,666.0,98339.48999999999,56968.11300000001,0.0,0.6566205533596838
ASSASSIN,61835.0,1341.0,1284.0,0.0,161.0,3.0,13.0,33057.363,31263.316,0.0,1.044392523364486
CHEMIST,51070.0,815.0,763.0,17.0,17.0,114.0,3180.0,42040.08200000002,61682.16899999999,0.0,1.0681520314547837
MEDIC,52020.0,497.0,533.0,6.0,39.0,40.0,640.0,26018.87799999999,47195.67799999997,29160.0,0.9324577861163227
SCOUT,16275.0,153.0,283.0,0.0,19.0,10.0,38.0,10089.451,12360.386000000002,0.0,0.5406360424028268
ELF,14999.0,135.0,256.0,6.0,0.0,68.0,1578.0,5662.975,18833.981999999996,0.0,0.52734375
SOLDIER,39689.0,560.0,428.0,8.0,55.0,102.0,1818.0,37201.360000000015,44054.33000000001,0.0,1.308411214953271
MAGE,7835.0,72.0,85.0,1.0,6.0,11.0,572.0,6756.119,5297.766999999999,0.0,0.8470588235294118
ARCHER,23893.0,461.0,247.0,0.0,4.0,2.0,23.0,12400.617,15917.387,0.0,1.8663967611336032
PYRO,8303.0,132.0,72.0,0.0,36.0,1.0,0.0,5955.321,5793.121,0.0,1.8333333333333333
ENGINEER,1170.0,22.0,6.0,0.0,3.0,0.0,0.0,1606.1509999999998,1049.9579999999999,0.0,3.6666666666666665
NECRO,2326.0,66.0,29.0,0.0,2.0,2.0,6.0,2780.2389999999996,3215.2,0.0,2.2758620689655173
