kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,28613.0,150.0,164.0,1.0,9.0,32.0,391.0,14802.408999999994,19244.068000000003,0.0,0.9146341463414634
ASSASSIN,289882.0,3466.0,5759.0,5.0,995.0,32.0,448.0,97358.10199999988,136004.83199999997,0.0,0.6018405973259247
NINJA,41122.0,279.0,636.0,0.0,93.0,8.0,123.0,30272.909000000014,20700.323999999993,0.0,0.4386792452830189
SOLDIER,40923.0,202.0,518.0,17.0,29.0,131.0,3114.0,17302.368000000002,35097.188,0.0,0.38996138996138996
CHEMIST,7058.0,25.0,73.0,0.0,3.0,6.0,45.0,2131.898,2989.922,0.0,0.3424657534246575
MEDIC,51949.0,299.0,491.0,9.0,61.0,68.0,1423.0,18924.48300000001,41552.847000000016,15340.0,0.6089613034623218
MAGE,7114.0,23.0,213.0,1.0,3.0,5.0,157.0,2953.0319999999997,6870.267,0.0,0.107981220657277
NECRO,2808.0,33.0,19.0,0.0,0.0,0.0,0.0,1898.554,1938.236,819.0,1.736842105263158
PYRO,8379.0,89.0,85.0,3.0,12.0,9.0,469.0,3484.3569999999995,4559.3859999999995,0.0,1.0470588235294118
DWARF,938.0,4.0,10.0,0.0,0.0,0.0,0.0,716.7660000000001,758.944,0.0,0.4
ARCHER,4544.0,34.0,29.0,0.0,2.0,1.0,1.0,1165.737,1731.0250000000003,0.0,1.1724137931034482
ENGINEER,2749.0,11.0,18.0,0.0,0.0,0.0,0.0,1517.3329999999999,1392.2920000000001,0.0,0.6111111111111112
ELF,400.0,2.0,8.0,0.0,0.0,0.0,0.0,231.76500000000001,369.433,0.0,0.25
SCOUT,34.0,0.0,2.0,0.0,0.0,0.0,0.0,53.259,66.379,0.0,0.0
FASHIONISTA,109.0,2.0,4.0,0.0,0.0,0.0,0.0,77.299,162.02,0.0,0.5
