kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,265248.0,4572.0,2803.0,1.0,1122.0,12.0,269.0,214382.107,206924.93299999996,0.0,1.6311095255083838
CHEMIST,219300.0,3993.0,4229.0,78.0,100.0,890.0,16394.0,268333.3520000001,360040.312,0.0,0.944194845117049
MEDIC,56204.0,672.0,799.0,17.0,28.0,126.0,2358.0,36624.03299999999,70861.28400000003,17132.0,0.8410513141426783
ASSASSIN,32521.0,667.0,769.0,1.0,124.0,12.0,126.0,20051.38400000001,18131.009,0.0,0.8673602080624188
NINJA,166189.0,1939.0,5108.0,35.0,414.0,188.0,2672.0,218621.09100000016,133704.7259999999,0.0,0.379600626468285
MAGE,140643.0,1554.0,1696.0,21.0,92.0,161.0,5848.0,159373.408,118603.32199999997,0.0,0.9162735849056604
HEAVY,184010.0,759.0,503.0,12.0,55.0,76.0,1979.0,76057.55099999998,70019.08700000004,0.0,1.5089463220675945
SOLDIER,71938.0,671.0,973.0,31.0,110.0,197.0,7017.0,73108.75499999996,82743.14400000001,0.0,0.6896197327852004
ARCHER,559135.0,16129.0,7718.0,3.0,30.0,29.0,620.0,431486.1119999997,399300.1409999998,0.0,2.0897901010624516
ENGINEER,4388.0,27.0,36.0,0.0,0.0,1.0,12.0,3027.645,2748.7470000000003,0.0,0.75
DWARF,4049.0,36.0,32.0,1.0,0.0,2.0,296.0,2593.0119999999997,2757.644,0.0,1.125
NECRO,3326.0,49.0,43.0,0.0,0.0,1.0,0.0,3808.512,3911.6319999999996,468.0,1.1395348837209303
FASHIONISTA,1519.0,11.0,12.0,0.0,0.0,1.0,52.0,699.851,804.073,0.0,0.9166666666666666
ELF,5712.0,34.0,43.0,0.0,1.0,4.0,286.0,2738.971,2609.096,0.0,0.7906976744186046
SCOUT,113.0,1.0,7.0,0.0,0.0,0.0,0.0,140.13400000000001,207.349,0.0,0.14285714285714285
