kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,85108.0,965.0,2902.0,11.0,221.0,48.0,900.0,123162.93600000003,71502.999,0.0,0.33252929014472776
PYRO,23903.0,281.0,165.0,0.0,68.0,2.0,27.0,12530.953000000003,14434.705,0.0,1.7030303030303031
CHEMIST,2978.0,22.0,34.0,0.0,1.0,6.0,43.0,2117.157,2408.7650000000003,0.0,0.6470588235294118
ASSASSIN,2838.0,58.0,64.0,0.0,20.0,0.0,0.0,1543.7459999999999,1497.322,0.0,0.90625
SOLDIER,7288.0,75.0,84.0,1.0,10.0,8.0,88.0,8147.550999999999,7993.827,0.0,0.8928571428571429
ARCHER,8981.0,87.0,71.0,2.0,4.0,2.0,134.0,3737.7749999999996,4570.013,0.0,1.2253521126760563
HEAVY,25001.0,311.0,90.0,2.0,50.0,8.0,544.0,29908.164,20533.286,0.0,3.4555555555555557
FASHIONISTA,80.0,0.0,3.0,0.0,0.0,0.0,0.0,44.0,121.969,0.0,0.0
ELF,4454.0,46.0,38.0,2.0,0.0,5.0,432.0,2474.5730000000003,3181.319,0.0,1.2105263157894737
MEDIC,14312.0,66.0,68.0,1.0,16.0,11.0,255.0,8380.511,10194.804,10802.0,0.9705882352941176
ENGINEER,1028.0,19.0,14.0,0.0,0.0,0.0,17.0,1332.3709999999999,1151.6009999999999,0.0,1.3571428571428572
MAGE,3942.0,17.0,17.0,0.0,3.0,1.0,92.0,2419.6270000000004,1378.152,0.0,1.0
SCOUT,30824.0,248.0,622.0,0.0,53.0,5.0,19.0,25233.984,25800.617,0.0,0.3987138263665595
NECRO,99.0,0.0,1.0,0.0,0.0,0.0,0.0,146.149,243.354,0.0,0.0
DWARF,173.0,5.0,3.0,0.0,0.0,0.0,0.0,386.525,384.07,0.0,1.6666666666666667
