kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,85321.0,2523.0,1039.0,25.0,39.0,247.0,8623.0,151578.44100000002,164092.02899999992,0.0,2.428296438883542
ARCHER,43930.0,1010.0,268.0,1.0,3.0,4.0,83.0,24117.175,21882.63300000001,0.0,3.7686567164179103
SOLDIER,599971.0,9232.0,7076.0,564.0,114.0,2957.0,108575.0,406738.6849999997,847014.3529999994,0.0,1.3046919163369135
NINJA,17783.0,224.0,311.0,12.0,9.0,52.0,435.0,15271.821999999998,12711.141000000003,0.0,0.7202572347266881
CHEMIST,86086.0,2941.0,1159.0,35.0,15.0,285.0,7759.0,122559.27699999997,163884.38600000003,0.0,2.537532355478861
ELF,5989.0,79.0,59.0,1.0,0.0,3.0,120.0,3716.6599999999994,5819.838999999999,0.0,1.3389830508474576
NECRO,6803.0,130.0,48.0,1.0,1.0,5.0,120.0,6665.564,6980.001999999999,0.0,2.7083333333333335
MEDIC,6920.0,126.0,91.0,0.0,0.0,18.0,346.0,4845.181000000001,12362.994999999999,3183.0,1.3846153846153846
ENGINEER,4569.0,101.0,44.0,2.0,0.0,6.0,111.0,4682.722,4887.04,0.0,2.2954545454545454
SCOUT,2655.0,24.0,41.0,0.0,0.0,5.0,29.0,857.716,1698.1709999999998,0.0,0.5853658536585366
ASSASSIN,1051.0,20.0,16.0,0.0,3.0,1.0,3.0,444.343,487.815,0.0,1.25
MAGE,158.0,1.0,0.0,0.0,0.0,0.0,0.0,23.16,13.0,0.0,Inf
PYRO,751.0,18.0,10.0,0.0,0.0,0.0,0.0,705.4730000000001,588.28,0.0,1.8
FASHIONISTA,54.0,2.0,1.0,0.0,0.0,0.0,0.0,158.68,111.3,0.0,2.0
