kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,40070.0,193.0,82.0,0.0,54.0,0.0,3.0,25113.82099999999,24313.011000000006,0.0,2.3536585365853657
MEDIC,76339.0,363.0,238.0,1.0,124.0,0.0,27.0,27834.735,33713.253,99202.0,1.5252100840336134
NINJA,104258.0,935.0,1469.0,0.0,238.0,0.0,4.0,78493.89900000003,49015.098999999995,0.0,0.6364874063989108
ASSASSIN,21388.0,285.0,352.0,0.0,62.0,0.0,0.0,6756.529,8706.858000000002,0.0,0.8096590909090909
SOLDIER,99290.0,646.0,463.0,4.0,188.0,31.0,279.0,66284.71800000002,70181.21800000001,0.0,1.3952483801295896
CHEMIST,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ARCHER,2269.0,24.0,9.0,0.0,0.0,0.0,0.0,698.167,623.043,0.0,2.6666666666666665
ENGINEER,329.0,5.0,4.0,0.0,0.0,0.0,0.0,207.043,270.294,0.0,1.25
MAGE,147.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,NaN
PYRO,61.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,26.009,0.0,0.0
