kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,446389.0,9595.0,13479.0,11.0,999.0,111.0,901.0,292644.52599999984,313793.1329999999,0.0,0.7118480599450998
HEAVY,183323.0,716.0,556.0,21.0,40.0,147.0,4236.0,61667.677,73365.85100000001,0.0,1.2877697841726619
PYRO,38412.0,515.0,354.0,1.0,104.0,3.0,29.0,23520.085,26706.79,0.0,1.4548022598870056
NINJA,248127.0,3634.0,8047.0,30.0,306.0,212.0,3894.0,355881.7759999997,210233.11300000027,0.0,0.4515968683981608
MAGE,93568.0,766.0,1121.0,9.0,32.0,69.0,3186.0,69197.28200000004,61003.30100000001,0.0,0.6833184656556646
CHEMIST,166711.0,2263.0,2668.0,58.0,82.0,349.0,6659.0,154358.80099999998,199995.85100000002,0.0,0.8482008995502249
ARCHER,314889.0,7149.0,4019.0,2.0,8.0,5.0,93.0,180501.232,220118.53100000005,0.0,1.778800696690719
MEDIC,39735.0,299.0,406.0,7.0,19.0,49.0,928.0,21099.536999999993,41472.58100000001,20546.0,0.7364532019704434
SOLDIER,126273.0,1288.0,1803.0,93.0,57.0,624.0,15546.0,93281.62500000004,158224.56799999997,0.0,0.7143649473100389
FASHIONISTA,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ELF,3868.0,13.0,23.0,0.0,0.0,1.0,10.0,812.4630000000001,1430.1129999999998,0.0,0.5652173913043478
DWARF,719.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,80.375,0.0,0.0
ENGINEER,1665.0,13.0,13.0,0.0,0.0,0.0,0.0,1529.2469999999998,1648.1039999999998,0.0,1.0
NECRO,1041.0,1.0,5.0,0.0,0.0,0.0,0.0,577.4069999999999,472.262,0.0,0.2
SCOUT,6107.0,48.0,122.0,0.0,7.0,6.0,25.0,4182.339,5043.8910000000005,0.0,0.39344262295081966
