kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,181240.0,2235.0,1849.0,39.0,51.0,371.0,10042.0,158603.06599999993,225259.06000000003,0.0,1.208761492698756
NINJA,15959.0,14.0,158.0,9.0,4.0,119.0,928.0,2384.7740000000003,3079.292,0.0,0.08860759493670886
SOLDIER,1.056668e6,9803.0,13906.0,588.0,400.0,4535.0,155615.0,606583.2640000011,1.2358350459999996e6,0.0,0.7049475046742414
CHEMIST,4580.0,6.0,22.0,0.0,0.0,1.0,363.0,93.69,267.968,0.0,0.2727272727272727
MEDIC,158135.0,1968.0,2400.0,11.0,26.0,134.0,2806.0,77824.16100000001,218520.68500000008,69444.0,0.82
ASSASSIN,1459.0,1.0,13.0,0.0,0.0,0.0,0.0,87.699,258.481,0.0,0.07692307692307693
ARCHER,3479.0,74.0,32.0,0.0,0.0,0.0,0.0,1945.527,1791.318,0.0,2.3125
SCOUT,1466.0,3.0,11.0,0.0,0.0,1.0,1124.0,30.26,179.64,0.0,0.2727272727272727
PYRO,656.0,4.0,3.0,0.0,0.0,0.0,0.0,180.7,227.49,0.0,1.3333333333333333
NECRO,1459.0,15.0,24.0,0.0,0.0,0.0,0.0,788.884,1280.3429999999998,0.0,0.625
DWARF,316.0,2.0,1.0,0.0,0.0,0.0,0.0,122.186,173.765,0.0,2.0
ELF,870.0,1.0,3.0,0.0,0.0,0.0,0.0,138.47899999999998,268.254,0.0,0.3333333333333333
MAGE,661.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,54.229,0.0,0.0
ENGINEER,527.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.25,0.0,NaN
FASHIONISTA,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
