kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,217445.0,1794.0,1008.0,30.0,157.0,140.0,3891.0,142218.64100000003,124843.11600000005,0.0,1.7797619047619047
CHEMIST,193789.0,2998.0,2790.0,32.0,51.0,367.0,5824.0,148794.35999999996,200317.69900000005,0.0,1.0745519713261649
NINJA,530248.0,8041.0,15948.0,22.0,1178.0,95.0,1243.0,767840.8910000009,399016.1290000003,0.0,0.5042011537496864
MEDIC,26988.0,366.0,309.0,3.0,5.0,21.0,816.0,15024.549000000005,27447.87899999999,13773.0,1.1844660194174756
ENGINEER,6645.0,74.0,42.0,1.0,7.0,1.0,15.0,3397.5250000000005,3744.459,0.0,1.7619047619047619
ARCHER,661.0,18.0,14.0,0.0,0.0,0.0,0.0,593.571,663.0329999999999,0.0,1.2857142857142858
PYRO,39804.0,674.0,276.0,1.0,121.0,0.0,53.0,27096.637000000002,25388.717999999993,0.0,2.4420289855072466
MAGE,1844.0,0.0,8.0,0.0,0.0,1.0,213.0,394.227,448.965,0.0,0.0
SOLDIER,121574.0,1510.0,937.0,5.0,280.0,72.0,3346.0,144136.723,97514.30800000002,0.0,1.6115261472785485
ELF,2374.0,1.0,9.0,0.0,0.0,0.0,0.0,181.56199999999998,465.732,0.0,0.1111111111111111
NECRO,285.0,1.0,3.0,0.0,0.0,0.0,19.0,214.548,241.401,0.0,0.3333333333333333
DWARF,3684.0,0.0,1.0,0.0,0.0,0.0,0.0,33.624,65.99799999999999,0.0,0.0
FASHIONISTA,2091.0,1.0,3.0,0.0,0.0,0.0,0.0,61.0,245.104,0.0,0.3333333333333333
ASSASSIN,1197.0,18.0,21.0,0.0,1.0,0.0,0.0,346.69100000000003,496.82,0.0,0.8571428571428571
SCOUT,14022.0,127.0,281.0,0.0,8.0,3.0,11.0,10668.84,11199.347000000002,0.0,0.45195729537366547
