kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,109560.0,1709.0,3371.0,19.0,291.0,71.0,1355.0,175778.38899999994,89574.61299999998,0.0,0.5069712251557401
HEAVY,89165.0,303.0,123.0,1.0,37.0,13.0,304.0,38812.16900000001,24738.450999999997,0.0,2.4634146341463414
MEDIC,26392.0,221.0,199.0,13.0,21.0,26.0,2692.0,15613.775,19580.353999999996,8594.0,1.1105527638190955
NECRO,1206.0,6.0,3.0,2.0,3.0,2.0,224.0,540.123,488.528,38.0,2.0
MAGE,14575.0,103.0,74.0,10.0,23.0,31.0,1934.0,8418.892,6301.292,0.0,1.3918918918918919
ENGINEER,244.0,5.0,4.0,0.0,0.0,0.0,0.0,290.896,330.18,0.0,1.25
SOLDIER,20462.0,221.0,122.0,26.0,42.0,57.0,3154.0,20656.566,13067.359000000002,0.0,1.8114754098360655
ASSASSIN,37885.0,880.0,862.0,1.0,115.0,4.0,69.0,27529.487999999998,20604.119,0.0,1.0208816705336428
PYRO,11924.0,124.0,80.0,0.0,33.0,1.0,5.0,7381.231,5541.9079999999985,0.0,1.55
ARCHER,6969.0,168.0,67.0,0.0,0.0,0.0,0.0,5325.119000000001,4246.889999999999,0.0,2.5074626865671643
CHEMIST,2166.0,17.0,33.0,1.0,1.0,7.0,45.0,1004.838,1286.0590000000002,0.0,0.5151515151515151
DWARF,488.0,3.0,3.0,1.0,2.0,1.0,197.0,216.5,233.56799999999998,0.0,1.0
ELF,4073.0,6.0,8.0,3.0,2.0,5.0,902.0,251.172,482.72200000000004,0.0,0.75
