kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,13254.0,163.0,126.0,7.0,6.0,35.0,1703.0,10005.242000000002,18661.753999999997,5023.0,1.2936507936507937
CHEMIST,50322.0,1044.0,819.0,20.0,13.0,137.0,4525.0,50175.757999999994,77297.38200000003,0.0,1.2747252747252746
SOLDIER,248306.0,2671.0,2700.0,265.0,73.0,1298.0,67785.0,140780.34000000003,296803.0830000002,0.0,0.9892592592592593
NINJA,93754.0,2103.0,3675.0,2.0,160.0,19.0,219.0,191310.37000000008,95427.223,0.0,0.5722448979591837
PYRO,12892.0,192.0,88.0,0.0,32.0,0.0,3.0,9200.008000000002,8063.485,0.0,2.1818181818181817
HEAVY,64398.0,474.0,269.0,16.0,5.0,97.0,6478.0,33800.473,42797.577,0.0,1.762081784386617
ASSASSIN,6856.0,141.0,224.0,1.0,23.0,1.0,55.0,4595.809000000001,4951.639000000001,0.0,0.6294642857142857
ARCHER,14042.0,321.0,92.0,0.0,1.0,0.0,77.0,9191.737000000001,6214.338,0.0,3.489130434782609
MAGE,7084.0,64.0,73.0,1.0,6.0,2.0,89.0,5518.062000000001,4769.229000000001,0.0,0.8767123287671232
NECRO,434.0,5.0,2.0,0.0,0.0,0.0,0.0,124.809,235.521,2.0,2.5
ELF,13296.0,156.0,147.0,1.0,2.0,20.0,560.0,8730.422000000002,12251.835999999998,0.0,1.0612244897959184
ENGINEER,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
FASHIONISTA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,166.0,0.0,3.0,0.0,0.0,1.0,0.0,74.0,119.033,0.0,0.0
