kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,63973.0,528.0,186.0,1.0,63.0,8.0,184.0,62624.251999999986,38467.98300000001,0.0,2.838709677419355
SOLDIER,86062.0,1326.0,862.0,16.0,114.0,204.0,3899.0,110432.74499999994,101667.91,0.0,1.5382830626450117
ARCHER,78711.0,1927.0,621.0,1.0,4.0,3.0,24.0,49701.24199999998,41800.435,0.0,3.103059581320451
CHEMIST,244113.0,7650.0,3616.0,89.0,53.0,1034.0,21654.0,389818.2840000003,477256.51799999975,0.0,2.1155973451327434
MEDIC,4718.0,44.0,18.0,0.0,7.0,0.0,170.0,3454.1839999999997,3524.8569999999995,4027.0,2.4444444444444446
NECRO,21903.0,688.0,223.0,2.0,2.0,45.0,1004.0,30353.073999999997,31723.446000000004,0.0,3.085201793721973
PYRO,1.431396e6,34180.0,9324.0,16.0,5957.0,23.0,879.0,1.4240283019999997e6,1.1230167269999997e6,0.0,3.6658086658086657
ELF,2228.0,43.0,7.0,0.0,0.0,0.0,0.0,1453.127,1142.215,0.0,6.142857142857143
NINJA,30429.0,542.0,889.0,0.0,78.0,6.0,173.0,51618.61799999997,23443.903000000002,0.0,0.609673790776153
MAGE,6543.0,63.0,42.0,5.0,9.0,19.0,994.0,4582.855,4436.479,0.0,1.5
DWARF,317.0,0.0,1.0,0.0,0.0,0.0,0.0,8.5,37.871,0.0,0.0
ASSASSIN,649.0,8.0,15.0,0.0,4.0,1.0,7.0,371.836,339.669,0.0,0.5333333333333333
ENGINEER,5254.0,47.0,28.0,0.0,4.0,3.0,212.0,4001.062,2818.3079999999995,0.0,1.6785714285714286
FASHIONISTA,234.0,1.0,2.0,0.0,0.0,0.0,0.0,93.28,124.059,0.0,0.5
SCOUT,2255.0,30.0,33.0,0.0,7.0,7.0,124.0,1491.485,1317.549,0.0,0.9090909090909091
