kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,466842.0,9520.0,14053.0,7.0,1356.0,124.0,1323.0,261834.27800000014,331183.8210000001,0.0,0.6774354230413435
HEAVY,20813.0,67.0,111.0,3.0,4.0,19.0,699.0,8353.423,11708.948999999997,0.0,0.6036036036036037
CHEMIST,2775.0,12.0,48.0,0.0,2.0,1.0,10.0,967.8849999999998,1283.998,0.0,0.25
NINJA,45676.0,428.0,1276.0,2.0,113.0,23.0,543.0,51130.94600000001,32199.132999999994,0.0,0.335423197492163
PYRO,1942.0,21.0,18.0,0.0,5.0,0.0,0.0,1231.277,979.309,0.0,1.1666666666666667
MEDIC,9408.0,139.0,126.0,1.0,0.0,12.0,255.0,5561.379000000001,12470.059000000001,6299.0,1.1031746031746033
ARCHER,1855.0,36.0,27.0,0.0,0.0,1.0,13.0,1212.476,1827.588,0.0,1.3333333333333333
ELF,2534.0,7.0,26.0,0.0,0.0,0.0,0.0,709.9490000000001,1351.674,0.0,0.2692307692307692
SOLDIER,33920.0,284.0,563.0,18.0,9.0,193.0,4940.0,15780.543000000001,43653.685,0.0,0.5044404973357016
ENGINEER,212.0,12.0,4.0,0.0,1.0,0.0,0.0,337.65,310.19,0.0,3.0
MAGE,1444.0,7.0,25.0,0.0,0.0,2.0,19.0,926.792,947.863,0.0,0.28
NECRO,41.0,3.0,1.0,0.0,0.0,0.0,0.0,157.769,163.58,0.0,3.0
FASHIONISTA,21.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,37.9,0.0,0.0
DWARF,18.0,1.0,1.0,0.0,0.0,0.0,0.0,30.889,31.84,0.0,1.0
SCOUT,10.0,0.0,1.0,0.0,0.0,0.0,0.0,4.75,21.694,0.0,0.0
