kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,48193.0,181.0,218.0,6.0,13.0,60.0,1870.0,16410.790000000005,21851.498000000007,0.0,0.8302752293577982
MAGE,129092.0,667.0,1591.0,3.0,51.0,141.0,3769.0,74737.05200000003,85591.89299999997,0.0,0.41923318667504716
NINJA,175356.0,1372.0,4736.0,29.0,141.0,373.0,3416.0,156834.55000000008,130558.25400000004,0.0,0.28969594594594594
CHEMIST,120655.0,1055.0,2394.0,34.0,33.0,567.0,9100.0,67692.53199999998,154382.1929999999,0.0,0.44068504594820385
ASSASSIN,109962.0,1838.0,2809.0,1.0,248.0,27.0,395.0,52382.933000000005,66054.477,0.0,0.6543253826984692
PYRO,30139.0,306.0,355.0,1.0,62.0,6.0,96.0,15713.620000000003,20857.41900000001,0.0,0.8619718309859155
SOLDIER,127675.0,753.0,2296.0,72.0,29.0,901.0,18624.0,49741.16100000003,150397.079,0.0,0.3279616724738676
ELF,30568.0,191.0,490.0,13.0,2.0,142.0,2498.0,10293.212,26024.513999999996,0.0,0.38979591836734695
ARCHER,62242.0,1161.0,798.0,1.0,6.0,16.0,169.0,33649.697,39194.65300000001,0.0,1.4548872180451127
MEDIC,34100.0,268.0,569.0,5.0,8.0,67.0,1424.0,15579.623,45886.421,8769.0,0.4710017574692443
DWARF,1118.0,1.0,1.0,0.0,0.0,0.0,0.0,5.711,84.44800000000001,0.0,1.0
NECRO,1354.0,4.0,7.0,0.0,1.0,2.0,6.0,1056.502,863.9490000000001,205.0,0.5714285714285714
ENGINEER,1837.0,14.0,22.0,0.0,4.0,0.0,0.0,804.75,1942.059,0.0,0.6363636363636364
SCOUT,16350.0,173.0,429.0,0.0,30.0,12.0,41.0,15349.441000000003,15769.521999999997,0.0,0.40326340326340326
