kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,163164.0,612.0,693.0,6.0,17.0,120.0,2449.0,41044.89400000002,65662.23400000003,0.0,0.8831168831168831
MEDIC,709936.0,3859.0,8905.0,44.0,228.0,865.0,11891.0,215284.72999999992,689082.4470000003,327395.0,0.4333520494104436
SOLDIER,122925.0,756.0,2052.0,50.0,32.0,592.0,14532.0,46288.71899999995,145043.97699999998,0.0,0.3684210526315789
NINJA,141234.0,1152.0,3893.0,8.0,83.0,69.0,841.0,125360.919,103199.02399999998,0.0,0.2959157462111482
CHEMIST,228353.0,1586.0,3292.0,36.0,60.0,491.0,6560.0,85442.9580000001,202010.63600000003,0.0,0.48177399756986633
ASSASSIN,84450.0,1152.0,1953.0,3.0,147.0,21.0,199.0,27697.519000000004,44125.05300000001,0.0,0.5898617511520737
ARCHER,15035.0,130.0,175.0,1.0,1.0,2.0,30.0,4237.191000000001,7926.418000000001,0.0,0.7428571428571429
ENGINEER,288.0,2.0,5.0,0.0,0.0,0.0,0.0,63.758,179.315,0.0,0.4
NECRO,3162.0,20.0,33.0,0.0,2.0,3.0,53.0,1956.2549999999999,3063.659,0.0,0.6060606060606061
ELF,6932.0,27.0,76.0,1.0,0.0,4.0,58.0,1794.308,3640.2080000000005,0.0,0.35526315789473684
FASHIONISTA,204.0,0.0,7.0,1.0,0.0,4.0,33.0,24.0,221.782,0.0,0.0
PYRO,193862.0,1966.0,1917.0,1.0,518.0,8.0,119.0,105433.884,130378.51499999998,0.0,1.0255607720396454
DWARF,2363.0,0.0,3.0,0.0,0.0,0.0,0.0,72.499,98.66,0.0,0.0
MAGE,3800.0,10.0,55.0,0.0,2.0,3.0,13.0,641.798,1851.0020000000002,0.0,0.18181818181818182
SCOUT,83123.0,433.0,1685.0,1.0,63.0,85.0,289.0,32558.748,59729.089000000014,0.0,0.256973293768546
