kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,33139.0,384.0,382.0,11.0,11.0,114.0,2756.0,26096.15600000001,37705.829000000005,0.0,1.0052356020942408
SOLDIER,394836.0,2689.0,6109.0,241.0,45.0,2197.0,59004.0,162317.18800000008,409590.4650000003,0.0,0.4401702406285808
CHEMIST,231642.0,2606.0,3484.0,44.0,104.0,618.0,11515.0,170535.804,243610.71999999986,0.0,0.7479908151549942
MAGE,32224.0,226.0,360.0,3.0,10.0,39.0,847.0,16852.926,20295.194999999992,0.0,0.6277777777777778
NINJA,60303.0,587.0,1437.0,8.0,39.0,64.0,1036.0,45325.557,35022.474,0.0,0.40848990953375086
PYRO,5693.0,51.0,90.0,1.0,0.0,16.0,766.0,1624.1589999999999,4205.6939999999995,0.0,0.5666666666666667
ASSASSIN,8772.0,99.0,172.0,2.0,11.0,9.0,201.0,2221.668,3658.4449999999993,0.0,0.5755813953488372
MEDIC,4159.0,29.0,45.0,4.0,1.0,7.0,225.0,2357.605,3635.3290000000015,1283.0,0.6444444444444445
ARCHER,55124.0,957.0,717.0,0.0,3.0,5.0,280.0,29084.495999999992,29334.593,0.0,1.3347280334728033
ENGINEER,2967.0,23.0,30.0,0.0,1.0,5.0,219.0,2611.6809999999996,1875.534,0.0,0.7666666666666667
DWARF,2714.0,11.0,21.0,1.0,1.0,5.0,194.0,1009.7890000000001,1893.847,0.0,0.5238095238095238
NECRO,1533.0,12.0,18.0,1.0,0.0,4.0,150.0,1091.0400000000002,1740.4100000000003,256.0,0.6666666666666666
ELF,1418.0,12.0,13.0,1.0,0.0,2.0,98.0,576.386,746.8710000000001,0.0,0.9230769230769231
FASHIONISTA,653.0,0.0,4.0,0.0,0.0,1.0,28.0,39.799,88.35,0.0,0.0
SCOUT,180.0,3.0,1.0,0.0,0.0,0.0,0.0,43.65,93.334,0.0,3.0
