kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,3190.0,41.0,87.0,0.0,13.0,0.0,0.0,4813.388,2362.9990000000003,0.0,0.47126436781609193
CHEMIST,1964.0,52.0,29.0,1.0,0.0,8.0,125.0,2480.896,2753.681,0.0,1.793103448275862
SOLDIER,4329.0,49.0,28.0,0.0,12.0,3.0,47.0,5669.456999999999,3955.0460000000003,0.0,1.75
SCOUT,4075.0,44.0,79.0,0.0,9.0,1.0,1.0,5096.262,3213.7990000000004,0.0,0.5569620253164557
MEDIC,1374.0,18.0,7.0,0.0,1.0,1.0,6.0,1194.498,886.292,1171.0,2.5714285714285716
PYRO,91.0,1.0,1.0,0.0,0.0,0.0,0.0,72.099,76.71,0.0,1.0
ENGINEER,54.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
HEAVY,3019.0,47.0,12.0,0.0,1.0,0.0,0.0,6359.362999999999,3748.743,0.0,3.9166666666666665
NECRO,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ASSASSIN,319.0,4.0,5.0,0.0,1.0,0.0,0.0,120.978,106.434,0.0,0.8
